
"TS007B - Age by broad age bands"
"ONS Crown Copyright Reserved [from Nomis on 6 January 2026]"
"Date       :","2021"

"2021 super output area - lower layer","mnemonic","Aged 16 to 19 years","Aged 20 to 24 years"

"Barking and Dagenham 001A","E01000027",5.9,5.8
"Barking and Dagenham 001B","E01000028",7.9,4.8
"Barking and Dagenham 001C","E01000029",4.9,5.3
"Barking and Dagenham 001D","E01000030",5.3,4.1
"Barking and Dagenham 002A","E01000031",5.1,7.4
"Barking and Dagenham 002B","E01000032",4.5,5.8
"Barking and Dagenham 002C","E01000110",4.6,6.4
"Barking and Dagenham 002D","E01000111",5.6,6.2
"Barking and Dagenham 002E","E01000112",4.1,6.2
"Barking and Dagenham 002F","E01000113",6.2,6.6
"Barking and Dagenham 003A","E01000034",5.5,5.5
"Barking and Dagenham 003B","E01000037",4.2,7.4
"Barking and Dagenham 003C","E01000038",4.3,6.7
"Barking and Dagenham 003D","E01000039",4.3,5.8
"Barking and Dagenham 004A","E01000063",6.0,4.6
"Barking and Dagenham 004B","E01000100",5.0,7.0
"Barking and Dagenham 004C","E01000101",5.5,6.2
"Barking and Dagenham 004E","E01000114",5.7,5.7
"Barking and Dagenham 004F","E01034469",3.7,4.2
"Barking and Dagenham 004G","E01034470",4.8,5.7
"Barking and Dagenham 006A","E01000033",5.0,4.9
"Barking and Dagenham 006B","E01000060",4.9,6.4
"Barking and Dagenham 006C","E01000061",6.1,5.9
"Barking and Dagenham 006D","E01000062",5.1,7.0
"Barking and Dagenham 006E","E01000064",5.0,6.4
"Barking and Dagenham 007A","E01000065",5.1,5.1
"Barking and Dagenham 007B","E01000078",4.3,5.7
"Barking and Dagenham 007C","E01000080",4.5,7.5
"Barking and Dagenham 007D","E01000081",6.1,5.0
"Barking and Dagenham 007E","E01000082",5.5,4.9
"Barking and Dagenham 007F","E01000083",5.7,4.7
"Barking and Dagenham 007G","E01000102",5.3,5.3
"Barking and Dagenham 008A","E01000021",5.4,6.1
"Barking and Dagenham 008B","E01000022",5.4,5.5
"Barking and Dagenham 008D","E01000024",6.8,6.1
"Barking and Dagenham 008E","E01000025",5.4,5.5
"Barking and Dagenham 008F","E01000077",4.7,7.1
"Barking and Dagenham 008G","E01034471",8.0,7.7
