
"TS004 - Country of birth"
"ONS Crown Copyright Reserved [from Nomis on 6 January 2026]"
"Population :","All usual residents"
"Units      :","Persons"
"Date       :","2021"

"2021 super output area - lower layer","mnemonic","Europe","Africa","Middle East and Asia","The Americas and the Caribbean","Antarctica and Oceania (including Australasia) and Other","British Overseas"

"Barking and Dagenham 001A","E01000027",84.8,5.9,7.6,1.4,0.3,0.1
"Barking and Dagenham 001B","E01000028",75.2,11.6,11.2,1.9,0.0,0.1
"Barking and Dagenham 001C","E01000029",73.5,6.2,16.9,3.1,0.2,0.1
"Barking and Dagenham 001D","E01000030",78.0,12.0,8.0,1.9,0.0,0.0
"Barking and Dagenham 002A","E01000031",72.8,5.9,19.0,2.3,0.0,0.0
"Barking and Dagenham 002B","E01000032",75.7,5.4,17.1,1.6,0.0,0.0
"Barking and Dagenham 002C","E01000110",74.5,4.8,18.5,2.2,0.0,0.0
"Barking and Dagenham 002D","E01000111",80.3,7.7,10.2,1.9,0.0,0.0
"Barking and Dagenham 002E","E01000112",72.6,7.5,17.7,2.1,0.1,0.1
"Barking and Dagenham 002F","E01000113",71.3,11.3,15.9,1.5,0.1,0.0
"Barking and Dagenham 003A","E01000034",83.6,9.4,6.0,1.0,0.0,0.0
"Barking and Dagenham 003B","E01000037",84.3,3.8,10.4,1.5,0.0,0.0
"Barking and Dagenham 003C","E01000038",85.2,5.0,8.4,1.4,0.0,0.0
"Barking and Dagenham 003D","E01000039",82.1,7.0,8.5,2.1,0.1,0.1
"Barking and Dagenham 004A","E01000063",78.6,8.6,11.4,1.3,0.2,0.0
"Barking and Dagenham 004B","E01000100",77.5,7.0,14.7,0.7,0.1,0.1
"Barking and Dagenham 004C","E01000101",75.8,10.2,11.8,2.0,0.1,0.1
"Barking and Dagenham 004E","E01000114",73.1,9.5,15.7,1.6,0.1,0.0
"Barking and Dagenham 004F","E01034469",67.4,8.0,23.4,1.1,0.0,0.0
"Barking and Dagenham 004G","E01034470",71.5,8.5,18.7,1.2,0.1,0.0
"Barking and Dagenham 006A","E01000033",82.6,10.9,5.2,1.3,0.0,0.1
"Barking and Dagenham 006B","E01000060",80.0,11.3,7.7,1.0,0.0,0.1
"Barking and Dagenham 006C","E01000061",76.5,14.7,7.2,1.4,0.0,0.2
"Barking and Dagenham 006D","E01000062",78.0,12.8,8.1,1.0,0.0,0.0
"Barking and Dagenham 006E","E01000064",76.7,11.6,10.3,1.4,0.0,0.1
"Barking and Dagenham 007A","E01000065",77.7,11.6,9.1,1.5,0.0,0.0
"Barking and Dagenham 007B","E01000078",77.7,10.5,10.5,1.0,0.2,0.1
"Barking and Dagenham 007C","E01000080",80.6,8.7,8.2,2.5,0.0,0.0
"Barking and Dagenham 007D","E01000081",77.6,8.8,12.0,1.5,0.0,0.1
"Barking and Dagenham 007E","E01000082",80.8,10.9,6.9,1.3,0.0,0.1
"Barking and Dagenham 007F","E01000083",79.6,6.6,11.5,2.2,0.0,0.1
"Barking and Dagenham 007G","E01000102",79.5,9.1,9.7,1.4,0.1,0.1
"Barking and Dagenham 008A","E01000021",74.6,7.7,15.7,1.8,0.1,0.0
"Barking and Dagenham 008B","E01000022",76.3,9.7,11.9,1.9,0.1,0.1
"Barking and Dagenham 008D","E01000024",75.3,10.5,12.6,1.5,0.1,0.0
"Barking and Dagenham 008E","E01000025",78.9,8.2,11.9,1.0,0.0,0.0
"Barking and Dagenham 008F","E01000077",78.6,11.5,8.8,1.2,0.0,0.0
"Barking and Dagenham 008G","E01034471",74.5,11.5,11.0,2.6,0.3,0.1
"Barking and Dagenham 008H","E01034472",70.0,13.0,14.2,2.6,0.1,0.1
"Barking and Dagenham 009A","E01000015",81.0,9.4,8.2,1.4,0.0,0.0
"Barking and Dagenham 009B","E01000016",79.8,10.0,8.1,1.9,0.1,0.1
"Barking and Dagenham 009C","E01000017",77.2,10.5,11.0,1.1,0.1,0.1
"Barking and Dagenham 009D","E01000018",81.3,11.1,7.0,0.6,0.0,0.0
"Barking and Dagenham 009E","E01000079",79.5,10.8,8.6,1.0,0.1,0.1
"Barking and Dagenham 010A","E01000035",77.5,10.6,10.5,1.3,0.1,0.1
"Barking and Dagenham 010B","E01000036",74.9,9.8,13.5,1.7,0.0,0.1
"Barking and Dagenham 010C","E01000107",81.4,8.7,8.8,0.9,0.1,0.1
"Barking and Dagenham 010D","E01000108",79.5,8.6,10.8,1.1,0.0,0.0
"Barking and Dagenham 011A","E01000066",70.8,4.2,24.2,0.8,0.0,0.0
"Barking and Dagenham 011B","E01000067",70.8,6.8,21.0,1.4,0.0,0.0
"Barking and Dagenham 011C","E01000069",73.8,3.0,22.2,1.0,0.0,0.0
"Barking and Dagenham 011D","E01000070",69.5,4.8,24.1,1.4,0.0,0.1
"Barking and Dagenham 011E","E01000071",70.9,4.3,22.2,2.6,0.0,0.0
"Barking and Dagenham 012A","E01000057",76.3,13.4,8.8,1.4,0.0,0.1
"Barking and Dagenham 012B","E01000073",80.7,7.6,10.8,0.7,0.2,0.0
"Barking and Dagenham 012C","E01000074",80.8,9.3,8.9,1.0,0.0,0.0
"Barking and Dagenham 012D","E01000075",79.1,9.6,9.7,1.5,0.0,0.1
"Barking and Dagenham 012E","E01000076",79.6,12.0,7.5,0.9,0.0,0.0
"Barking and Dagenham 013A","E01000013",79.8,9.4,9.9,0.9,0.0,0.0
"Barking and Dagenham 013B","E01000014",81.6,8.5,8.9,1.1,0.1,0.0
"Barking and Dagenham 013C","E01000059",82.8,9.5,6.1,1.3,0.1,0.2
"Barking and Dagenham 013D","E01000084",79.5,9.8,9.6,1.0,0.1,0.0
