
"TS066 - Economic activity status"
"ONS Crown Copyright Reserved [from Nomis on 6 January 2026]"
"Population :","All usual residents aged 16 years and over"
"Units      :","Persons"
"Date       :","2021"

"2021 super output area - lower layer","mnemonic","Economically active (excluding full-time students):In employment","Economically active (excluding full-time students): Unemployed","Economically active and a full-time student:In employment","Economically active and a full-time student: Unemployed"

"Barking and Dagenham 001A","E01000027",52.0,5.3,2.2,1.6
"Barking and Dagenham 001B","E01000028",48.3,4.7,2.6,1.0
"Barking and Dagenham 001C","E01000029",52.4,3.1,1.3,0.7
"Barking and Dagenham 001D","E01000030",54.7,5.3,2.2,1.6
"Barking and Dagenham 002A","E01000031",54.4,4.4,2.1,0.9
"Barking and Dagenham 002B","E01000032",53.3,5.4,2.3,0.4
"Barking and Dagenham 002C","E01000110",58.4,4.0,2.0,1.0
"Barking and Dagenham 002D","E01000111",54.8,4.2,4.8,0.4
"Barking and Dagenham 002E","E01000112",58.2,4.5,2.9,0.4
"Barking and Dagenham 002F","E01000113",58.8,3.4,3.4,0.3
"Barking and Dagenham 003A","E01000034",49.6,4.2,1.9,0.8
"Barking and Dagenham 003B","E01000037",59.3,5.3,1.7,0.9
"Barking and Dagenham 003C","E01000038",59.3,4.0,1.6,0.5
"Barking and Dagenham 003D","E01000039",58.8,3.4,1.8,0.4
"Barking and Dagenham 004A","E01000063",58.1,4.4,2.0,0.9
"Barking and Dagenham 004B","E01000100",56.5,3.8,1.2,1.3
"Barking and Dagenham 004C","E01000101",54.7,4.7,2.1,0.6
"Barking and Dagenham 004E","E01000114",59.1,3.3,1.6,0.6
"Barking and Dagenham 004F","E01034469",67.5,3.5,2.0,1.1
"Barking and Dagenham 004G","E01034470",60.2,4.8,1.7,0.5
"Barking and Dagenham 006A","E01000033",50.5,4.0,2.2,0.4
"Barking and Dagenham 006B","E01000060",53.2,4.8,3.0,1.4
"Barking and Dagenham 006C","E01000061",52.9,6.4,2.0,0.9
"Barking and Dagenham 006D","E01000062",57.8,3.5,3.0,0.5
"Barking and Dagenham 006E","E01000064",55.9,3.7,3.1,0.9
"Barking and Dagenham 007A","E01000065",50.7,5.4,2.3,1.1
"Barking and Dagenham 007B","E01000078",54.5,4.8,3.3,0.4
"Barking and Dagenham 007C","E01000080",59.4,4.3,2.7,0.2
