
"TS037 - General health"
"ONS Crown Copyright Reserved [from Nomis on 7 January 2026]"
"Population :","All usual residents"
"Units      :","Persons"
"Date       :","2021"

"2021 super output area - lower layer","mnemonic","Good health","Bad health","Very bad health"

"Barking and Dagenham 001A","E01000027",31.3,4.8,2.0
"Barking and Dagenham 001B","E01000028",29.0,4.5,1.8
"Barking and Dagenham 001C","E01000029",34.2,3.8,1.3
"Barking and Dagenham 001D","E01000030",32.9,4.2,1.6
"Barking and Dagenham 002A","E01000031",33.3,3.7,1.0
"Barking and Dagenham 002B","E01000032",37.0,3.8,1.4
"Barking and Dagenham 002C","E01000110",31.6,3.0,0.5
"Barking and Dagenham 002D","E01000111",29.9,3.2,1.0
"Barking and Dagenham 002E","E01000112",34.8,2.7,0.5
"Barking and Dagenham 002F","E01000113",35.2,2.8,1.1
"Barking and Dagenham 003A","E01000034",32.1,5.4,1.3
"Barking and Dagenham 003B","E01000037",36.4,2.8,0.5
"Barking and Dagenham 003C","E01000038",32.7,4.1,0.9
"Barking and Dagenham 003D","E01000039",33.3,3.5,0.7
"Barking and Dagenham 004A","E01000063",33.9,3.8,1.6
"Barking and Dagenham 004B","E01000100",33.1,4.1,2.1
"Barking and Dagenham 004C","E01000101",32.6,3.9,1.7
"Barking and Dagenham 004E","E01000114",31.4,2.5,0.5
"Barking and Dagenham 004F","E01034469",29.8,1.4,0.8
"Barking and Dagenham 004G","E01034470",32.7,3.9,0.7
"Barking and Dagenham 006A","E01000033",33.4,5.6,1.6
"Barking and Dagenham 006B","E01000060",32.0,4.4,1.3
"Barking and Dagenham 006C","E01000061",33.2,4.3,1.8
"Barking and Dagenham 006D","E01000062",34.4,3.7,1.0
"Barking and Dagenham 006E","E01000064",30.0,4.4,2.1
"Barking and Dagenham 007A","E01000065",32.9,5.2,2.4
"Barking and Dagenham 007B","E01000078",32.3,5.5,1.5
"Barking and Dagenham 007C","E01000080",32.1,5.3,1.1
"Barking and Dagenham 007D","E01000081",34.5,3.6,1.5
"Barking and Dagenham 007E","E01000082",30.8,3.8,0.8
"Barking and Dagenham 007F","E01000083",34.8,4.3,1.7
"Barking and Dagenham 007G","E01000102",33.3,4.8,1.3
"Barking and Dagenham 008A","E01000021",32.1,4.4,1.1
"Barking and Dagenham 008B","E01000022",35.3,4.2,0.9
"Barking and Dagenham 008D","E01000024",29.4,3.9,1.2
"Barking and Dagenham 008E","E01000025",30.4,4.4,1.2
"Barking and Dagenham 008F","E01000077",33.2,4.7,1.2
"Barking and Dagenham 008G","E01034471",31.5,2.4,1.1
"Barking and Dagenham 008H","E01034472",33.1,2.3,0.5
"Barking and Dagenham 009A","E01000015",33.7,3.3,0.7
"Barking and Dagenham 009B","E01000016",32.8,3.6,1.1
"Barking and Dagenham 009C","E01000017",31.3,5.0,1.5
"Barking and Dagenham 009D","E01000018",37.5,4.5,1.3
"Barking and Dagenham 009E","E01000079",30.9,5.0,1.0
"Barking and Dagenham 010A","E01000035",33.0,6.3,0.5
"Barking and Dagenham 010B","E01000036",35.0,3.5,1.2
