
"TS067 - Highest level of qualification"
"ONS Crown Copyright Reserved [from Nomis on 7 January 2026]"
"Population :","All usual residents aged 16 years and over"
"Units      :","Persons"
"Date       :","2021"

"2021 super output area - lower layer","mnemonic","No qualifications","Level 4 qualifications or above"

"Barking and Dagenham 001A","E01000027",25.6,25.5
"Barking and Dagenham 001B","E01000028",24.4,32.8
"Barking and Dagenham 001C","E01000029",23.7,31.8
"Barking and Dagenham 001D","E01000030",22.4,33.4
"Barking and Dagenham 002A","E01000031",20.4,35.6
"Barking and Dagenham 002B","E01000032",23.1,31.3
"Barking and Dagenham 002C","E01000110",20.2,35.8
"Barking and Dagenham 002D","E01000111",24.4,30.2
"Barking and Dagenham 002E","E01000112",20.2,37.3
"Barking and Dagenham 002F","E01000113",19.1,34.9
"Barking and Dagenham 003A","E01000034",27.9,28.8
"Barking and Dagenham 003B","E01000037",20.8,30.1
"Barking and Dagenham 003C","E01000038",23.2,28.8
"Barking and Dagenham 003D","E01000039",22.4,35.0
"Barking and Dagenham 004A","E01000063",22.1,30.0
"Barking and Dagenham 004B","E01000100",25.2,28.4
"Barking and Dagenham 004C","E01000101",26.6,28.0
"Barking and Dagenham 004E","E01000114",21.1,35.2
"Barking and Dagenham 004F","E01034469",14.8,49.9
"Barking and Dagenham 004G","E01034470",23.2,33.4
"Barking and Dagenham 006A","E01000033",27.8,26.6
"Barking and Dagenham 006B","E01000060",22.6,32.2
"Barking and Dagenham 006C","E01000061",21.7,30.9
"Barking and Dagenham 006D","E01000062",22.4,33.3
"Barking and Dagenham 006E","E01000064",25.1,33.7
"Barking and Dagenham 007A","E01000065",26.1,28.3
"Barking and Dagenham 007B","E01000078",27.0,28.1
"Barking and Dagenham 007C","E01000080",24.9,30.7
"Barking and Dagenham 007D","E01000081",22.1,29.4
"Barking and Dagenham 007E","E01000082",24.4,29.5
"Barking and Dagenham 007F","E01000083",28.0,26.5
"Barking and Dagenham 007G","E01000102",24.2,27.0
"Barking and Dagenham 008A","E01000021",23.9,29.7
