
"TS011 - Households by deprivation dimensions"
"ONS Crown Copyright Reserved [from Nomis on 7 January 2026]"
"Population :","All households"
"Units      :","Households"
"Household deprivation:","Household is deprived in two dimensions"

"2021 super output area - lower layer","mnemonic","2021"

"Barking and Dagenham 001A","E01000027",25.1
"Barking and Dagenham 001B","E01000028",24.0
"Barking and Dagenham 001C","E01000029",17.9
"Barking and Dagenham 001D","E01000030",19.4
"Barking and Dagenham 002A","E01000031",17.0
"Barking and Dagenham 002B","E01000032",19.1
"Barking and Dagenham 002C","E01000110",13.8
"Barking and Dagenham 002D","E01000111",19.2
"Barking and Dagenham 002E","E01000112",14.9
"Barking and Dagenham 002F","E01000113",16.5
"Barking and Dagenham 003A","E01000034",21.1
"Barking and Dagenham 003B","E01000037",10.7
"Barking and Dagenham 003C","E01000038",16.5
"Barking and Dagenham 003D","E01000039",15.7
"Barking and Dagenham 004A","E01000063",19.6
"Barking and Dagenham 004B","E01000100",21.0
"Barking and Dagenham 004C","E01000101",21.8
"Barking and Dagenham 004E","E01000114",13.1
"Barking and Dagenham 004F","E01034469",10.1
"Barking and Dagenham 004G","E01034470",17.1
"Barking and Dagenham 006A","E01000033",22.6
"Barking and Dagenham 006B","E01000060",19.9
"Barking and Dagenham 006C","E01000061",24.4
"Barking and Dagenham 006D","E01000062",16.1
"Barking and Dagenham 006E","E01000064",18.4
"Barking and Dagenham 007A","E01000065",23.9
"Barking and Dagenham 007B","E01000078",25.7
"Barking and Dagenham 007C","E01000080",24.3
"Barking and Dagenham 007D","E01000081",21.2
"Barking and Dagenham 007E","E01000082",15.8
"Barking and Dagenham 007F","E01000083",22.0
"Barking and Dagenham 007G","E01000102",21.5
"Barking and Dagenham 008A","E01000021",21.7
"Barking and Dagenham 008B","E01000022",18.8
"Barking and Dagenham 008D","E01000024",24.0
"Barking and Dagenham 008E","E01000025",19.2
"Barking and Dagenham 008F","E01000077",20.2
"Barking and Dagenham 008G","E01034471",16.7
"Barking and Dagenham 008H","E01034472",15.0
"Barking and Dagenham 009A","E01000015",17.8
"Barking and Dagenham 009B","E01000016",16.3
"Barking and Dagenham 009C","E01000017",23.2
"Barking and Dagenham 009D","E01000018",17.9
"Barking and Dagenham 009E","E01000079",20.4
"Barking and Dagenham 010A","E01000035",19.4
"Barking and Dagenham 010B","E01000036",16.9
"Barking and Dagenham 010C","E01000107",17.3
"Barking and Dagenham 010D","E01000108",19.7
"Barking and Dagenham 011A","E01000066",19.9
"Barking and Dagenham 011B","E01000067",19.2
"Barking and Dagenham 011C","E01000069",15.3
"Barking and Dagenham 011D","E01000070",19.2
"Barking and Dagenham 011E","E01000071",17.9
"Barking and Dagenham 012A","E01000057",19.7
"Barking and Dagenham 012B","E01000073",16.4
"Barking and Dagenham 012C","E01000074",22.8
"Barking and Dagenham 012D","E01000075",22.2
"Barking and Dagenham 012E","E01000076",24.9
"Barking and Dagenham 013A","E01000013",21.4
"Barking and Dagenham 013B","E01000014",19.5
"Barking and Dagenham 013C","E01000059",18.4
"Barking and Dagenham 013D","E01000084",21.8
"Barking and Dagenham 013E","E01000085",22.4
"Barking and Dagenham 013F","E01000086",19.1
"Barking and Dagenham 014A","E01000103",19.7
"Barking and Dagenham 014B","E01000104",17.5
"Barking and Dagenham 014C","E01000105",23.2
"Barking and Dagenham 014D","E01000106",21.6
"Barking and Dagenham 015A","E01000007",14.0
"Barking and Dagenham 015B","E01000008",25.3
"Barking and Dagenham 015D","E01000012",23.8
"Barking and Dagenham 015E","E01034473",14.8
"Barking and Dagenham 015F","E01034474",16.1
"Barking and Dagenham 016A","E01000006",13.4
"Barking and Dagenham 016B","E01000009",21.0
"Barking and Dagenham 016C","E01000011",18.2
"Barking and Dagenham 016D","E01000044",17.0
"Barking and Dagenham 016E","E01000068",15.7
"Barking and Dagenham 017A","E01000041",20.2
"Barking and Dagenham 017B","E01000042",20.9
"Barking and Dagenham 017C","E01000045",21.5
"Barking and Dagenham 017D","E01000046",20.1
"Barking and Dagenham 017E","E01000072",21.3
"Barking and Dagenham 018A","E01000054",20.9
"Barking and Dagenham 018B","E01000055",18.1
"Barking and Dagenham 018C","E01000056",19.5
"Barking and Dagenham 018D","E01000058",22.0
"Barking and Dagenham 018E","E01000095",18.0
"Barking and Dagenham 019A","E01000040",22.1
"Barking and Dagenham 019B","E01000043",20.8
"Barking and Dagenham 019C","E01000050",16.5
"Barking and Dagenham 019D","E01000052",18.7
"Barking and Dagenham 019F","E01034475",21.1
"Barking and Dagenham 019G","E01034476",18.0
"Barking and Dagenham 019H","E01034477",9.4
"Barking and Dagenham 019I","E01034478",6.1
"Barking and Dagenham 020A","E01000053",21.5
"Barking and Dagenham 020B","E01000087",19.9
"Barking and Dagenham 020C","E01000088",16.8
"Barking and Dagenham 020D","E01000089",16.0
"Barking and Dagenham 020E","E01000090",16.3
"Barking and Dagenham 021C","E01000049",23.7
"Barking and Dagenham 021D","E01000051",7.9
"Barking and Dagenham 021E","E01033587",12.5
"Barking and Dagenham 021G","E01034479",21.5
"Barking and Dagenham 022A","E01000091",24.6
"Barking and Dagenham 022B","E01000093",20.6
"Barking and Dagenham 022C","E01000094",13.4
"Barking and Dagenham 022D","E01000096",21.6
"Barking and Dagenham 023A","E01000019",19.8
"Barking and Dagenham 023B","E01000020",20.7
"Barking and Dagenham 023C","E01000097",20.6
"Barking and Dagenham 023D","E01000098",23.3
"Barking and Dagenham 023E","E01000099",17.6
"Barking and Dagenham 023F","E01032580",20.4
"Barnet 001A","E01000248",6.8
"Barnet 001B","E01000249",8.3
"Barnet 001C","E01000250",12.2
"Barnet 001D","E01000254",7.4
"Barnet 001E","E01000292",11.3
"Barnet 001F","E01000293",9.7
"Barnet 002A","E01000167",19.3
"Barnet 002B","E01000246",8.6
"Barnet 002C","E01000247",10.5
"Barnet 002D","E01000251",17.6
"Barnet 002E","E01000252",15.0
"Barnet 003A","E01000166",13.9
"Barnet 003B","E01000168",10.3
"Barnet 003C","E01000169",14.2
"Barnet 003D","E01000172",11.9
"Barnet 004A","E01000285",12.6
"Barnet 004B","E01000287",18.7
"Barnet 004C","E01000288",12.7
"Barnet 004D","E01000289",22.8
"Barnet 004E","E01000291",18.1
"Barnet 004F","E01000294",13.8
"Barnet 005A","E01000267",9.0
"Barnet 005B","E01000268",14.1
"Barnet 005C","E01000269",10.1
"Barnet 005D","E01000270",10.9
"Barnet 006A","E01000170",14.9
"Barnet 006B","E01000171",15.5
"Barnet 006C","E01000173",10.0
"Barnet 006D","E01000174",15.9
"Barnet 006E","E01000175",9.5
"Barnet 007A","E01000228",11.1
"Barnet 007B","E01000253",6.8
"Barnet 007C","E01000279",5.1
"Barnet 007D","E01000280",5.7
"Barnet 007E","E01000286",17.7
"Barnet 007F","E01000290",16.3
"Barnet 008A","E01000271",9.8
"Barnet 008B","E01000272",5.0
"Barnet 008C","E01000273",13.2
"Barnet 008D","E01000281",10.3
"Barnet 008E","E01000282",8.4
"Barnet 009A","E01000115",8.4
"Barnet 009B","E01000116",10.8
"Barnet 009C","E01000119",10.7
"Barnet 009D","E01000120",9.9
"Barnet 009E","E01000122",9.4
"Barnet 010A","E01000117",12.6
"Barnet 010B","E01000118",10.5
"Barnet 010C","E01000121",25.5
"Barnet 010D","E01000123",10.2
"Barnet 010E","E01000124",15.8
"Barnet 011A","E01000265",14.5
"Barnet 011B","E01000266",6.5
"Barnet 011C","E01000274",13.2
"Barnet 011D","E01000320",10.6
"Barnet 011E","E01000322",11.7
"Barnet 012A","E01000275",7.7
"Barnet 012B","E01000277",13.7
"Barnet 012C","E01000283",6.5
"Barnet 012D","E01000284",12.8
"Barnet 012E","E01000321",15.2
"Barnet 013A","E01000195",19.1
"Barnet 013B","E01000229",14.6
"Barnet 013C","E01000230",10.5
"Barnet 013D","E01000231",12.9
"Barnet 013E","E01000232",12.9
"Barnet 013F","E01000233",9.7
"Barnet 014A","E01000186",6.5
"Barnet 014B","E01000187",13.6
"Barnet 014C","E01000188",11.2
"Barnet 014D","E01000189",14.5
"Barnet 014E","E01000190",13.5
"Barnet 014F","E01000191",15.6
"Barnet 015A","E01000158",12.6
"Barnet 015B","E01000159",12.5
"Barnet 015C","E01000160",9.4
"Barnet 015D","E01000161",14.5
"Barnet 015E","E01000162",18.1
"Barnet 015F","E01000324",12.1
"Barnet 016A","E01000256",7.1
"Barnet 016B","E01000258",9.4
"Barnet 016C","E01000263",4.6
"Barnet 016D","E01000264",12.3
"Barnet 017A","E01000255",16.5
"Barnet 017B","E01000257",17.9
"Barnet 017C","E01000261",10.0
"Barnet 017E","E01033911",9.4
"Barnet 017F","E01033912",7.5
"Barnet 018A","E01000192",15.0
"Barnet 018B","E01000193",17.6
"Barnet 018C","E01000194",15.4
"Barnet 018D","E01000226",20.6
"Barnet 018E","E01000227",9.7
"Barnet 019A","E01000299",15.2
"Barnet 019B","E01000300",10.2
"Barnet 019C","E01000302",12.8
"Barnet 019D","E01000317",12.8
"Barnet 019E","E01000318",15.3
"Barnet 019F","E01000323",19.8
"Barnet 020A","E01000276",4.4
"Barnet 020B","E01000278",5.8
"Barnet 020C","E01000301",7.4
"Barnet 020D","E01000303",9.2
"Barnet 020E","E01000304",10.0
"Barnet 021A","E01000130",20.5
"Barnet 021B","E01000132",20.4
"Barnet 021C","E01000133",21.2
"Barnet 021D","E01000234",9.9
"Barnet 021E","E01000235",17.2
"Barnet 022A","E01000156",11.6
"Barnet 022B","E01000157",13.3
"Barnet 022C","E01000163",18.5
"Barnet 022D","E01000164",17.9
"Barnet 022E","E01000165",12.3
"Barnet 022F","E01000315",20.8
"Barnet 023A","E01000197",12.3
"Barnet 023B","E01000295",10.6
"Barnet 023C","E01000296",10.6
"Barnet 023D","E01000298",10.8
"Barnet 024B","E01000127",19.4
"Barnet 024C","E01000128",16.4
"Barnet 024D","E01000129",21.8
"Barnet 024E","E01000131",17.0
"Barnet 024F","E01000134",21.1
"Barnet 024G","E01033913",23.2
"Barnet 024H","E01033914",19.9
"Barnet 025A","E01000198",10.0
"Barnet 025B","E01000199",8.5
"Barnet 025C","E01000204",10.5
"Barnet 025D","E01000259",13.4
"Barnet 025E","E01000260",12.3
"Barnet 026A","E01000126",20.1
"Barnet 026B","E01000151",25.8
"Barnet 026C","E01000152",14.2
"Barnet 026D","E01000153",17.1
"Barnet 026E","E01000154",18.3
"Barnet 027A","E01000176",24.5
"Barnet 027B","E01000178",10.6
"Barnet 027C","E01000184",16.9
"Barnet 027D","E01000297",10.5
"Barnet 027E","E01000316",15.9
"Barnet 027F","E01000319",9.2
"Barnet 028A","E01000196",15.8
"Barnet 028B","E01000200",13.5
"Barnet 028C","E01000201",6.5
"Barnet 028D","E01000202",9.3
"Barnet 028E","E01000203",13.5
"Barnet 029A","E01000177",7.0
"Barnet 029B","E01000179",8.9
"Barnet 029C","E01000180",13.6
"Barnet 029D","E01000181",6.9
"Barnet 029E","E01000182",8.5
"Barnet 029F","E01000185",21.9
"Barnet 031A","E01000239",17.7
"Barnet 031B","E01000240",14.7
"Barnet 031C","E01000241",13.8
"Barnet 031D","E01000309",14.4
"Barnet 032A","E01000237",12.6
"Barnet 032B","E01000242",10.7
"Barnet 032C","E01000243",18.9
"Barnet 032D","E01000244",15.7
"Barnet 032E","E01000245",20.5
"Barnet 032F","E01000314",11.4
"Barnet 033A","E01000183",13.4
"Barnet 033B","E01000206",3.1
"Barnet 033C","E01000207",9.9
"Barnet 033D","E01000208",4.9
"Barnet 033E","E01000210",5.8
"Barnet 033F","E01000213",5.8
"Barnet 034A","E01000236",12.2
"Barnet 034B","E01000238",14.8
"Barnet 034C","E01000310",18.2
"Barnet 034D","E01000311",9.6
"Barnet 035A","E01000205",4.3
"Barnet 035B","E01000209",9.6
