LSOA Code,LSOA Name,Borough,Total_Crime_Count,Population,Crime_Rate
E01000006,Barking and Dagenham 016A,E09000002,94,1845,50.948509485094846
E01000007,Barking and Dagenham 015A,E09000002,507,2908,174.34662998624484
E01000008,Barking and Dagenham 015B,E09000002,224,1795,124.79108635097492
E01000009,Barking and Dagenham 016B,E09000002,298,1804,165.18847006651885
E01000011,Barking and Dagenham 016C,E09000002,111,1701,65.25573192239858
E01000012,Barking and Dagenham 015D,E09000002,142,2347,60.50276949296975
E01000013,Barking and Dagenham 013A,E09000002,262,1871,140.03206841261357
E01000014,Barking and Dagenham 013B,E09000002,98,1751,55.96801827527127
E01000015,Barking and Dagenham 009A,E09000002,151,2418,62.448304383788255
E01000016,Barking and Dagenham 009B,E09000002,100,1851,54.02485143165856
E01000017,Barking and Dagenham 009C,E09000002,112,1722,65.04065040650407
E01000018,Barking and Dagenham 009D,E09000002,111,1776,62.5
E01000019,Barking and Dagenham 023A,E09000002,86,1657,51.901025950512974
E01000020,Barking and Dagenham 023B,E09000002,84,2191,38.33865814696485
E01000021,Barking and Dagenham 008A,E09000002,121,1693,71.47076196101594
E01000022,Barking and Dagenham 008B,E09000002,74,1477,50.10155721056195
E01000024,Barking and Dagenham 008D,E09000002,57,1485,38.38383838383838
E01000025,Barking and Dagenham 008E,E09000002,115,1920,59.895833333333336
E01000027,Barking and Dagenham 001A,E09000002,163,2082,78.29010566762729
E01000028,Barking and Dagenham 001B,E09000002,129,1817,70.99614749587231
E01000029,Barking and Dagenham 001C,E09000002,102,1819,56.074766355140184
E01000030,Barking and Dagenham 001D,E09000002,233,2563,90.9090909090909
E01000031,Barking and Dagenham 002A,E09000002,145,1770,81.92090395480226
E01000032,Barking and Dagenham 002B,E09000002,220,2078,105.87102983638114
E01000033,Barking and Dagenham 006A,E09000002,102,1543,66.1049902786779
E01000034,Barking and Dagenham 003A,E09000002,112,1575,71.11111111111111
E01000035,Barking and Dagenham 010A,E09000002,210,1859,112.96395911780527
E01000036,Barking and Dagenham 010B,E09000002,134,1470,91.15646258503402
E01000037,Barking and Dagenham 003B,E09000002,118,1696,69.5754716981132
E01000038,Barking and Dagenham 003C,E09000002,62,1616,38.366336633663366
E01000039,Barking and Dagenham 003D,E09000002,90,1752,51.36986301369863
E01000040,Barking and Dagenham 019A,E09000002,121,1879,64.39595529536987
E01000041,Barking and Dagenham 017A,E09000002,82,1842,44.51682953311618
E01000042,Barking and Dagenham 017B,E09000002,120,1882,63.76195536663125
E01000043,Barking and Dagenham 019B,E09000002,85,1537,55.30253741054001
E01000044,Barking and Dagenham 016D,E09000002,132,1988,66.39839034205232
E01000045,Barking and Dagenham 017C,E09000002,244,1723,141.6134648868253
E01000046,Barking and Dagenham 017D,E09000002,96,1956,49.079754601226995
E01000049,Barking and Dagenham 021C,E09000002,222,1973,112.51900658895083
E01000050,Barking and Dagenham 019C,E09000002,118,1839,64.16530723219141
E01000051,Barking and Dagenham 021D,E09000002,64,1107,57.813911472448055
E01000052,Barking and Dagenham 019D,E09000002,130,2368,54.89864864864865
E01000053,Barking and Dagenham 020A,E09000002,138,1617,85.34322820037106
E01000054,Barking and Dagenham 018A,E09000002,97,1871,51.8439337252806
E01000055,Barking and Dagenham 018B,E09000002,105,1705,61.58357771260997
E01000056,Barking and Dagenham 018C,E09000002,218,1702,128.08460634547592
E01000057,Barking and Dagenham 012A,E09000002,155,1550,100
E01000058,Barking and Dagenham 018D,E09000002,142,2135,66.51053864168618
E01000059,Barking and Dagenham 013C,E09000002,88,1710,51.46198830409357
E01000060,Barking and Dagenham 006B,E09000002,276,2180,126.60550458715598
E01000061,Barking and Dagenham 006C,E09000002,225,1925,116.88311688311688
