TS019 - Migrant Indicator,,,,,
ONS Crown Copyright Reserved [from Nomis on 7 January 2026],,,,,
Population :,All usual residents,,,,
Units      :,Persons,,,,
Date       :,2021,,,,
,,,,,
2021 super output area - lower layer,mnemonic,Address one year ago is student term-time or boarding school address in the UK,Migrant from within the UK: Address one year ago was in the UK,Migrant from outside the UK: Address one year ago was outside the UK,sum_migration
,,,,,
Barking and Dagenham 001A,E01000027,0.1,6.4,0.7,7.2
Barking and Dagenham 001B,E01000028,0.2,5.8,0.8,6.8
Barking and Dagenham 001C,E01000029,0,7.7,0.6,8.3
Barking and Dagenham 001D,E01000030,0.2,4.2,0.4,4.8
Barking and Dagenham 002A,E01000031,0.2,6.7,1,7.9
Barking and Dagenham 002B,E01000032,0.1,8,1,9.1
Barking and Dagenham 002C,E01000110,0.3,7.9,0.7,8.9
Barking and Dagenham 002D,E01000111,0.1,7.2,1,8.3
Barking and Dagenham 002E,E01000112,0.1,10.3,1.7,12.1
Barking and Dagenham 002F,E01000113,0.1,8.3,1.1,9.5
Barking and Dagenham 003A,E01000034,0.1,5.2,0.4,5.7
Barking and Dagenham 003B,E01000037,0.1,11.4,0.2,11.7
Barking and Dagenham 003C,E01000038,0.2,7.7,1,8.9
Barking and Dagenham 003D,E01000039,0.1,7.7,0.8,8.6
Barking and Dagenham 004A,E01000063,0.1,5.8,0.9,6.8
Barking and Dagenham 004B,E01000100,0.1,9,0.9,10
Barking and Dagenham 004C,E01000101,0.2,8.8,0.9,9.9
Barking and Dagenham 004E,E01000114,0,9.2,0.6,9.8
Barking and Dagenham 004F,E01034469,0.1,5.2,0.8,6.1
Barking and Dagenham 004G,E01034470,0.1,7.1,0.9,8.1
Barking and Dagenham 006A,E01000033,0.1,3.9,0.5,4.5
Barking and Dagenham 006B,E01000060,0.1,7.5,0.4,8
Barking and Dagenham 006C,E01000061,0.1,8,0.5,8.6
Barking and Dagenham 006D,E01000062,0.1,7.4,1.3,8.8
Barking and Dagenham 006E,E01000064,0.1,9.1,0.8,10
Barking and Dagenham 007A,E01000065,0.1,6.6,1,7.7
Barking and Dagenham 007B,E01000078,0.1,7.4,0.4,7.9
Barking and Dagenham 007C,E01000080,0.1,7.5,0.2,7.8
Barking and Dagenham 007D,E01000081,0.1,6.3,0.5,6.9
Barking and Dagenham 007E,E01000082,0.1,4.9,0.3,5.3
Barking and Dagenham 007F,E01000083,0.1,6.1,0.7,6.9
Barking and Dagenham 007G,E01000102,0.2,7.6,0.8,8.6
Barking and Dagenham 008A,E01000021,0.1,8.8,1.4,10.3
Barking and Dagenham 008B,E01000022,0.1,5.5,0.7,6.3
Barking and Dagenham 008D,E01000024,0.3,6.7,1.4,8.4
Barking and Dagenham 008E,E01000025,0.1,4.8,0.6,5.5
Barking and Dagenham 008F,E01000077,0.1,6.5,1.1,7.7
Barking and Dagenham 008G,E01034471,0.2,8.4,1.6,10.2
Barking and Dagenham 008H,E01034472,0.2,10.5,1.5,12.2
Barking and Dagenham 009A,E01000015,0.1,6.4,0.8,7.3
Barking and Dagenham 009B,E01000016,0.4,6.6,0.5,7.5
Barking and Dagenham 009C,E01000017,0.1,6.2,0.4,6.7
Barking and Dagenham 009D,E01000018,0.1,7.2,0.3,7.6
Barking and Dagenham 009E,E01000079,0.1,7.3,0.6,8
Barking and Dagenham 010A,E01000035,0.1,6.2,1.2,7.5
Barking and Dagenham 010B,E01000036,0.3,7.7,1.2,9.2
Barking and Dagenham 010C,E01000107,0,7.4,2.2,9.6
Barking and Dagenham 010D,E01000108,0.1,6,0.9,7
Barking and Dagenham 011A,E01000066,0,5.8,3.1,8.9
Barking and Dagenham 011B,E01000067,0.2,4.4,1,5.6
Barking and Dagenham 011C,E01000069,0.1,4.9,0.7,5.7
Barking and Dagenham 011D,E01000070,0.2,5.1,1.1,6.4
Barking and Dagenham 011E,E01000071,0.1,6.3,0.6,7
Barking and Dagenham 012A,E01000057,0.1,8.2,1,9.3
Barking and Dagenham 012B,E01000073,0.2,6.4,0.4,7
Barking and Dagenham 012C,E01000074,0.1,7.2,0.5,7.8
Barking and Dagenham 012D,E01000075,0.3,7.4,0.6,8.3
