
"TS052 - Occupancy rating for bedrooms"
"ONS Crown Copyright Reserved [from Nomis on 7 January 2026]"
"Population :","All households"
"Units      :","Households"
"Date       :","2021"

"2021 super output area - lower layer","mnemonic","Occupancy rating of bedrooms: -1","Occupancy rating of bedrooms: -2 or less"

"Barking and Dagenham 001A","E01000027",14.2,3.0
"Barking and Dagenham 001B","E01000028",14.5,3.4
"Barking and Dagenham 001C","E01000029",7.0,1.0
"Barking and Dagenham 001D","E01000030",18.7,2.2
"Barking and Dagenham 002A","E01000031",7.2,2.5
"Barking and Dagenham 002B","E01000032",11.3,2.6
"Barking and Dagenham 002C","E01000110",6.9,2.5
"Barking and Dagenham 002D","E01000111",10.2,5.5
"Barking and Dagenham 002E","E01000112",13.3,3.3
"Barking and Dagenham 002F","E01000113",16.5,4.4
"Barking and Dagenham 003A","E01000034",8.6,2.7
"Barking and Dagenham 003B","E01000037",4.2,1.7
"Barking and Dagenham 003C","E01000038",6.0,1.4
"Barking and Dagenham 003D","E01000039",7.7,1.3
"Barking and Dagenham 004A","E01000063",13.2,1.9
"Barking and Dagenham 004B","E01000100",16.5,3.5
"Barking and Dagenham 004C","E01000101",14.4,3.1
"Barking and Dagenham 004E","E01000114",11.4,2.6
"Barking and Dagenham 004F","E01034469",11.5,1.8
"Barking and Dagenham 004G","E01034470",10.4,4.5
"Barking and Dagenham 006A","E01000033",11.3,2.9
"Barking and Dagenham 006B","E01000060",14.6,3.0
"Barking and Dagenham 006C","E01000061",16.0,2.5
"Barking and Dagenham 006D","E01000062",11.9,2.6
"Barking and Dagenham 006E","E01000064",11.6,2.9
"Barking and Dagenham 007A","E01000065",11.0,2.4
"Barking and Dagenham 007B","E01000078",14.7,3.2
"Barking and Dagenham 007C","E01000080",15.5,4.0
"Barking and Dagenham 007D","E01000081",13.3,2.5
"Barking and Dagenham 007E","E01000082",12.8,1.9
"Barking and Dagenham 007F","E01000083",13.3,2.7
"Barking and Dagenham 007G","E01000102",15.9,3.2
"Barking and Dagenham 008A","E01000021",14.6,2.5
"Barking and Dagenham 008B","E01000022",11.9,4.8
"Barking and Dagenham 008D","E01000024",13.5,5.4
"Barking and Dagenham 008E","E01000025",12.8,4.2
"Barking and Dagenham 008F","E01000077",13.2,3.4
"Barking and Dagenham 008G","E01034471",15.3,5.7
"Barking and Dagenham 008H","E01034472",18.2,2.9
"Barking and Dagenham 009A","E01000015",16.7,4.0
"Barking and Dagenham 009B","E01000016",13.2,3.0
"Barking and Dagenham 009C","E01000017",12.9,3.5
"Barking and Dagenham 009D","E01000018",13.3,1.4
"Barking and Dagenham 009E","E01000079",9.8,2.6
"Barking and Dagenham 010A","E01000035",12.3,3.2
"Barking and Dagenham 010B","E01000036",11.5,2.8
"Barking and Dagenham 010C","E01000107",7.6,1.3
"Barking and Dagenham 010D","E01000108",15.7,2.6
"Barking and Dagenham 011A","E01000066",10.8,8.2
"Barking and Dagenham 011B","E01000067",15.0,3.8
"Barking and Dagenham 011C","E01000069",10.3,7.1
"Barking and Dagenham 011D","E01000070",9.7,5.0
"Barking and Dagenham 011E","E01000071",12.9,2.8
"Barking and Dagenham 012A","E01000057",14.0,1.9
"Barking and Dagenham 012B","E01000073",11.6,2.6
"Barking and Dagenham 012C","E01000074",15.2,2.4
"Barking and Dagenham 012D","E01000075",13.3,3.4
"Barking and Dagenham 012E","E01000076",11.7,3.3
"Barking and Dagenham 013A","E01000013",14.1,2.9
"Barking and Dagenham 013B","E01000014",12.6,3.0
"Barking and Dagenham 013C","E01000059",13.3,4.0
"Barking and Dagenham 013D","E01000084",12.4,3.6
"Barking and Dagenham 013E","E01000085",13.5,3.5
"Barking and Dagenham 013F","E01000086",11.5,3.5
"Barking and Dagenham 014A","E01000103",12.1,4.3
"Barking and Dagenham 014B","E01000104",15.9,2.6
"Barking and Dagenham 014C","E01000105",14.9,3.8
"Barking and Dagenham 014D","E01000106",17.6,2.6
"Barking and Dagenham 015A","E01000007",16.6,2.9
"Barking and Dagenham 015B","E01000008",19.3,8.0
"Barking and Dagenham 015D","E01000012",24.5,3.3
"Barking and Dagenham 015E","E01034473",18.6,2.4
"Barking and Dagenham 015F","E01034474",27.7,3.0
"Barking and Dagenham 016A","E01000006",18.7,5.4
"Barking and Dagenham 016B","E01000009",19.1,6.0
"Barking and Dagenham 016C","E01000011",19.5,4.0
"Barking and Dagenham 016D","E01000044",13.2,4.5
"Barking and Dagenham 016E","E01000068",15.5,6.7
"Barking and Dagenham 017A","E01000041",14.8,3.2
"Barking and Dagenham 017B","E01000042",14.9,4.0
"Barking and Dagenham 017C","E01000045",14.2,3.3
"Barking and Dagenham 017D","E01000046",14.1,2.0
"Barking and Dagenham 017E","E01000072",17.7,3.0
"Barking and Dagenham 018A","E01000054",15.6,1.6
"Barking and Dagenham 018B","E01000055",15.2,2.1
"Barking and Dagenham 018C","E01000056",13.9,3.2
"Barking and Dagenham 018D","E01000058",14.3,3.4
"Barking and Dagenham 018E","E01000095",13.7,2.6
"Barking and Dagenham 019A","E01000040",17.7,3.5
"Barking and Dagenham 019B","E01000043",13.0,4.5
"Barking and Dagenham 019C","E01000050",16.7,4.8
"Barking and Dagenham 019D","E01000052",14.8,4.4
"Barking and Dagenham 019F","E01034475",13.3,5.1
"Barking and Dagenham 019G","E01034476",16.7,4.3
"Barking and Dagenham 019H","E01034477",13.8,3.6
"Barking and Dagenham 019I","E01034478",9.7,1.3
"Barking and Dagenham 020A","E01000053",16.0,2.8
"Barking and Dagenham 020B","E01000087",16.0,3.5
"Barking and Dagenham 020C","E01000088",12.6,3.2
