
"TS030 - Religion"
"ONS Crown Copyright Reserved [from Nomis on 7 January 2026]"
"Population :","All usual residents"
"Units      :","Persons"
"Date       :","2021"

"2021 super output area - lower layer","mnemonic","No religion","Christian","Buddhist","Hindu","Jewish","Muslim","Sikh","Other religion"

"Barking and Dagenham 001A","E01000027",30.6,45.6,0.1,2.8,0.2,13.3,1.7,0.6
"Barking and Dagenham 001B","E01000028",18.2,48.2,0.2,2.2,0.4,24.0,1.9,0.6
"Barking and Dagenham 001C","E01000029",9.8,47.0,0.8,7.5,0.6,24.5,4.5,0.3
"Barking and Dagenham 001D","E01000030",26.2,47.5,0.3,1.4,0.3,17.7,0.7,0.2
"Barking and Dagenham 002A","E01000031",11.5,37.1,0.0,5.6,0.1,32.0,7.5,0.5
"Barking and Dagenham 002B","E01000032",16.7,38.3,0.9,4.6,0.1,27.3,5.1,0.7
"Barking and Dagenham 002C","E01000110",10.1,35.6,0.1,4.8,0.1,34.3,10.2,0.6
"Barking and Dagenham 002D","E01000111",16.7,52.5,0.2,4.1,0.1,18.8,3.0,0.3
"Barking and Dagenham 002E","E01000112",14.1,41.9,0.1,5.7,0.3,26.1,6.4,0.5
"Barking and Dagenham 002F","E01000113",11.5,49.4,0.4,5.0,0.2,23.9,4.0,0.4
"Barking and Dagenham 003A","E01000034",25.5,53.1,0.3,1.5,0.2,12.1,0.2,0.3
"Barking and Dagenham 003B","E01000037",23.5,52.2,0.8,3.0,0.3,13.3,1.7,0.1
"Barking and Dagenham 003C","E01000038",24.9,51.7,0.6,3.3,0.2,12.1,2.2,0.3
"Barking and Dagenham 003D","E01000039",26.7,51.3,0.3,2.0,0.1,12.4,2.1,0.3
"Barking and Dagenham 004A","E01000063",24.6,47.7,0.3,2.6,0.1,15.9,2.5,0.7
"Barking and Dagenham 004B","E01000100",28.7,41.3,0.6,2.5,0.2,17.8,3.6,0.6
"Barking and Dagenham 004C","E01000101",22.8,47.2,0.2,2.1,0.2,18.4,2.0,0.8
"Barking and Dagenham 004E","E01000114",11.6,39.4,0.4,7.4,0.5,30.5,3.8,0.7
"Barking and Dagenham 004F","E01034469",16.0,34.8,0.6,19.2,0.2,21.9,2.3,0.6
"Barking and Dagenham 004G","E01034470",18.0,38.1,0.2,6.6,0.0,21.8,8.3,0.8
"Barking and Dagenham 006A","E01000033",33.7,47.4,0.2,1.3,0.2,11.5,0.0,0.3
"Barking and Dagenham 006B","E01000060",22.8,49.9,0.3,1.2,0.0,20.3,0.0,0.8
"Barking and Dagenham 006C","E01000061",32.5,43.2,0.2,3.2,0.0,15.4,0.1,0.4
"Barking and Dagenham 006D","E01000062",20.9,56.5,0.5,1.8,0.0,13.9,1.2,0.3
"Barking and Dagenham 006E","E01000064",19.4,52.5,0.5,1.9,0.0,18.7,0.5,0.4
"Barking and Dagenham 007A","E01000065",24.3,52.2,0.2,1.7,0.1,16.3,0.5,0.4
"Barking and Dagenham 007B","E01000078",26.1,47.0,0.5,1.6,0.1,18.1,0.9,0.4
"Barking and Dagenham 007C","E01000080",25.4,51.6,0.1,1.3,0.3,14.4,0.0,0.1
"Barking and Dagenham 007D","E01000081",22.0,47.1,0.1,2.4,0.1,22.8,0.6,0.5
"Barking and Dagenham 007E","E01000082",27.4,48.9,0.4,0.6,0.2,15.8,0.9,0.4
"Barking and Dagenham 007F","E01000083",28.1,39.7,0.4,2.2,0.1,22.9,2.4,0.0
"Barking and Dagenham 007G","E01000102",24.2,43.5,0.4,1.2,0.2,20.2,2.1,0.3
"Barking and Dagenham 008A","E01000021",18.9,40.3,0.7,3.3,0.4,28.2,3.3,0.2
"Barking and Dagenham 008B","E01000022",17.9,47.3,0.1,3.0,0.0,23.6,2.2,0.3
"Barking and Dagenham 008D","E01000024",19.8,44.9,0.2,1.3,0.1,24.8,3.1,1.1
"Barking and Dagenham 008E","E01000025",21.1,46.7,0.5,2.3,0.1,20.9,1.9,0.5
"Barking and Dagenham 008F","E01000077",23.5,49.3,0.7,1.6,0.0,18.1,1.5,0.3
"Barking and Dagenham 008G","E01034471",14.8,48.9,0.1,3.0,0.0,24.4,0.8,0.9
"Barking and Dagenham 008H","E01034472",14.9,46.3,0.1,5.5,0.1,24.7,0.7,2.7
"Barking and Dagenham 009A","E01000015",26.5,49.5,0.5,1.3,0.0,15.9,0.2,0.4
"Barking and Dagenham 009B","E01000016",23.1,55.1,0.2,1.0,0.1,14.0,0.5,0.3
"Barking and Dagenham 009C","E01000017",21.5,50.8,0.1,2.3,0.1,17.5,0.6,0.5
"Barking and Dagenham 009D","E01000018",27.3,49.8,0.1,1.8,0.1,15.2,0.5,0.1
"Barking and Dagenham 009E","E01000079",24.3,53.6,0.1,1.2,0.2,13.4,1.0,1.7
"Barking and Dagenham 010A","E01000035",18.5,54.1,0.1,2.0,0.2,16.3,0.7,0.1
"Barking and Dagenham 010B","E01000036",15.2,51.8,0.3,2.2,0.1,22.9,1.3,0.4
"Barking and Dagenham 010C","E01000107",18.1,55.6,0.2,1.7,0.1,17.2,0.9,0.3
"Barking and Dagenham 010D","E01000108",18.3,49.8,0.6,1.5,0.5,21.0,1.7,0.7
"Barking and Dagenham 011A","E01000066",10.1,23.2,0.6,3.7,0.2,52.2,3.4,0.0
"Barking and Dagenham 011B","E01000067",8.8,29.6,0.0,3.0,0.0,50.8,3.0,0.4
"Barking and Dagenham 011C","E01000069",8.7,23.0,0.5,1.8,0.1,58.1,4.4,0.0
"Barking and Dagenham 011D","E01000070",6.2,25.7,0.2,5.6,0.0,50.8,5.9,0.2
"Barking and Dagenham 011E","E01000071",10.0,30.5,0.3,4.0,0.1,46.2,2.7,0.7
"Barking and Dagenham 012A","E01000057",22.2,54.2,0.6,1.0,0.0,14.8,0.4,0.5
"Barking and Dagenham 012B","E01000073",23.1,48.2,1.1,1.6,0.2,20.3,0.2,0.2
"Barking and Dagenham 012C","E01000074",24.5,50.4,0.2,1.4,0.2,16.4,1.5,0.1
"Barking and Dagenham 012D","E01000075",23.4,45.8,0.1,1.1,0.0,22.8,0.5,0.2
"Barking and Dagenham 012E","E01000076",27.4,49.5,0.6,0.8,0.0,16.5,0.6,0.3
"Barking and Dagenham 013A","E01000013",26.0,50.3,0.6,0.8,0.2,14.5,0.4,0.4
"Barking and Dagenham 013B","E01000014",25.0,50.5,0.2,1.5,0.2,15.7,0.1,0.7
"Barking and Dagenham 013C","E01000059",26.8,52.0,0.4,0.6,0.2,13.8,0.1,0.4
"Barking and Dagenham 013D","E01000084",25.1,51.5,0.8,2.4,0.2,13.9,0.2,0.1
"Barking and Dagenham 013E","E01000085",26.2,49.6,0.1,1.8,0.4,15.3,0.0,0.6
"Barking and Dagenham 013F","E01000086",24.4,56.2,0.6,1.2,0.1,12.4,0.3,0.1
"Barking and Dagenham 014A","E01000103",20.5,54.5,0.2,1.1,0.1,14.7,1.0,1.2
"Barking and Dagenham 014B","E01000104",23.1,51.6,0.2,1.9,0.0,16.3,0.0,1.6
"Barking and Dagenham 014C","E01000105",24.8,52.6,0.7,1.5,0.0,14.7,0.4,0.3
"Barking and Dagenham 014D","E01000106",21.9,50.2,0.1,1.5,0.2,18.4,1.0,0.4
"Barking and Dagenham 015A","E01000007",12.6,38.1,0.4,4.1,0.0,37.7,1.0,0.7
"Barking and Dagenham 015B","E01000008",10.0,47.2,0.1,2.1,0.0,34.7,1.3,0.2
"Barking and Dagenham 015D","E01000012",13.7,37.5,0.0,4.4,0.1,36.7,1.6,0.4
"Barking and Dagenham 015E","E01034473",7.6,31.4,1.0,14.1,0.1,34.3,5.7,0.2
"Barking and Dagenham 015F","E01034474",11.1,34.0,0.3,21.4,0.0,25.3,1.2,0.8
"Barking and Dagenham 016A","E01000006",7.0,37.2,0.7,5.7,0.1,39.1,3.6,0.1
"Barking and Dagenham 016B","E01000009",9.3,30.6,0.5,7.5,0.1,39.4,5.2,0.6
"Barking and Dagenham 016C","E01000011",5.5,33.0,0.2,4.1,0.1,47.9,4.6,0.1
"Barking and Dagenham 016D","E01000044",9.9,44.4,0.5,3.5,0.1,32.1,3.6,0.2
"Barking and Dagenham 016E","E01000068",7.6,25.6,0.1,2.6,0.0,52.6,5.7,0.1
"Barking and Dagenham 017A","E01000041",23.5,51.4,0.3,1.0,0.1,16.1,1.2,0.2
"Barking and Dagenham 017B","E01000042",20.9,42.0,0.3,2.2,0.1,27.8,0.5,0.5
"Barking and Dagenham 017C","E01000045",19.1,49.9,0.3,1.0,0.0,23.0,0.5,0.7
"Barking and Dagenham 017D","E01000046",23.8,53.4,0.2,0.8,0.5,15.1,0.8,0.2
"Barking and Dagenham 017E","E01000072",21.1,49.6,0.3,1.5,0.1,18.8,2.0,0.5
"Barking and Dagenham 018A","E01000054",24.3,54.8,0.9,1.5,0.0,12.8,0.5,0.3
"Barking and Dagenham 018B","E01000055",25.9,51.0,0.4,1.9,0.1,13.3,0.2,0.5
"Barking and Dagenham 018C","E01000056",28.3,49.8,0.1,0.9,0.1,14.5,0.4,0.1
"Barking and Dagenham 018D","E01000058",18.4,50.2,0.5,1.1,0.0,23.9,0.1,0.2
"Barking and Dagenham 018E","E01000095",23.9,46.9,0.3,1.9,0.0,21.6,0.9,0.6
"Barking and Dagenham 019A","E01000040",17.2,40.5,0.5,3.9,0.3,31.3,2.1,0.3
"Barking and Dagenham 019B","E01000043",16.2,36.2,0.7,1.8,0.0,37.0,2.9,0.2
"Barking and Dagenham 019C","E01000050",11.5,39.2,0.8,6.4,0.0,30.5,6.1,0.1
"Barking and Dagenham 019D","E01000052",15.0,40.2,1.1,3.7,0.1,31.9,4.1,0.0
"Barking and Dagenham 019F","E01034475",14.7,43.1,0.7,1.2,0.2,30.9,3.2,0.2
"Barking and Dagenham 019G","E01034476",15.5,46.6,0.8,1.3,0.1,29.5,0.7,0.4
"Barking and Dagenham 019H","E01034477",10.6,54.5,0.8,2.1,0.0,24.5,1.2,0.3
"Barking and Dagenham 019I","E01034478",18.7,43.9,1.3,5.9,0.0,24.0,0.4,0.6
"Barking and Dagenham 020A","E01000053",20.1,56.7,0.4,0.9,0.2,16.5,0.4,0.4
"Barking and Dagenham 020B","E01000087",18.5,54.5,0.2,0.9,0.1,18.9,1.0,0.1
"Barking and Dagenham 020C","E01000088",13.7,54.0,0.4,1.8,0.0,20.9,2.2,0.9
"Barking and Dagenham 020D","E01000089",14.9,57.7,0.4,0.9,0.3,19.7,0.8,0.3
"Barking and Dagenham 020E","E01000090",11.9,55.0,0.3,3.0,0.0,20.9,4.2,0.1
"Barking and Dagenham 021C","E01000049",13.1,36.8,0.2,2.5,0.0,40.5,1.6,0.1
"Barking and Dagenham 021D","E01000051",11.6,39.3,0.4,2.6,0.5,40.2,0.5,0.5
"Barking and Dagenham 021E","E01033587",14.6,43.5,0.7,3.0,0.2,31.6,0.6,0.3
"Barking and Dagenham 021G","E01034479",11.1,44.9,0.3,2.5,0.3,33.0,1.1,0.8
"Barking and Dagenham 022A","E01000091",18.7,45.3,0.0,1.1,0.0,29.1,1.0,0.3
"Barking and Dagenham 022B","E01000093",17.5,41.8,0.1,1.5,0.1,31.3,0.9,0.3
"Barking and Dagenham 022C","E01000094",13.7,50.4,0.0,1.6,0.1,26.6,0.1,0.6
"Barking and Dagenham 022D","E01000096",17.4,48.2,0.2,1.4,0.0,26.8,1.6,0.4
"Barking and Dagenham 023A","E01000019",14.9,43.3,0.8,2.4,0.1,27.2,4.6,0.3
"Barking and Dagenham 023B","E01000020",16.3,45.6,0.2,2.6,0.1,26.9,2.3,0.4
"Barking and Dagenham 023C","E01000097",20.8,42.7,0.2,5.4,0.2,22.2,2.3,0.5
"Barking and Dagenham 023D","E01000098",19.5,38.9,0.3,3.8,0.2,26.4,4.0,0.5
"Barking and Dagenham 023E","E01000099",22.4,41.1,0.1,5.9,0.0,21.3,2.7,1.3
"Barking and Dagenham 023F","E01032580",17.3,28.2,0.3,4.5,0.1,37.3,6.0,0.3
"Barnet 001A","E01000248",43.7,40.5,1.1,1.6,2.8,1.8,0.0,0.9
"Barnet 001B","E01000249",32.7,43.5,0.7,5.6,5.0,3.1,0.6,1.1
"Barnet 001C","E01000250",29.7,44.2,0.4,2.6,3.3,11.0,0.0,1.2
"Barnet 001D","E01000254",36.0,45.1,1.1,1.8,5.2,2.6,0.2,0.8
"Barnet 001E","E01000292",27.0,48.3,0.6,5.4,4.6,7.0,0.2,0.8
"Barnet 001F","E01000293",27.6,48.8,0.9,4.3,4.6,5.1,1.0,1.0
"Barnet 002A","E01000167",30.9,47.9,0.6,2.5,2.4,10.2,0.1,1.4
"Barnet 002B","E01000246",34.1,43.2,1.0,3.4,5.5,3.3,0.5,0.7
"Barnet 002C","E01000247",37.5,42.1,0.8,3.8,4.6,4.1,0.3,1.1
"Barnet 002D","E01000251",28.2,48.3,0.6,4.2,4.6,6.1,0.2,0.8
"Barnet 002E","E01000252",33.2,44.4,1.3,2.8,4.4,4.2,0.0,0.6
"Barnet 003A","E01000166",23.1,49.9,0.5,3.1,6.0,7.8,0.1,1.7
"Barnet 003B","E01000168",16.4,45.0,0.3,7.7,10.1,8.8,0.7,2.6
"Barnet 003C","E01000169",33.1,46.0,0.3,2.6,5.2,6.0,0.1,0.5
"Barnet 003D","E01000172",19.9,54.0,0.9,4.7,5.4,6.2,0.4,1.6
"Barnet 004A","E01000285",25.0,47.9,1.0,8.7,3.2,6.1,0.5,0.3
"Barnet 004B","E01000287",25.6,51.3,0.8,3.9,1.1,8.2,0.2,1.5
"Barnet 004C","E01000288",24.4,48.4,1.7,5.1,3.1,8.7,0.1,0.5
"Barnet 004D","E01000289",25.4,45.5,0.6,2.7,0.6,15.0,0.0,3.3
"Barnet 004E","E01000291",29.7,44.3,1.0,4.8,1.3,11.0,0.0,1.5
"Barnet 004F","E01000294",27.9,50.6,2.0,3.3,3.7,4.5,0.1,1.9
"Barnet 005A","E01000267",18.5,46.4,0.5,9.3,9.4,7.3,0.3,2.5
"Barnet 005B","E01000268",26.6,42.1,1.4,3.9,5.5,10.6,0.4,0.9
"Barnet 005C","E01000269",23.0,48.5,0.1,5.3,6.6,6.8,1.2,1.7
"Barnet 005D","E01000270",25.3,43.5,0.6,3.8,10.4,7.3,0.1,2.3
"Barnet 006A","E01000170",24.4,49.3,0.7,3.9,3.1,10.7,0.3,1.0
"Barnet 006B","E01000171",30.1,44.3,0.7,1.3,2.2,10.1,0.3,1.2
"Barnet 006C","E01000173",25.1,46.6,1.5,3.4,4.7,10.5,0.4,0.5
"Barnet 006D","E01000174",33.8,42.7,0.7,1.9,3.8,9.0,0.1,1.5
"Barnet 006E","E01000175",21.2,56.1,0.7,5.0,4.7,6.3,0.4,1.2
"Barnet 007A","E01000228",17.8,30.9,1.7,6.4,16.4,17.7,0.6,1.6
"Barnet 007B","E01000253",15.5,40.7,0.4,7.2,18.7,7.6,0.8,2.0
"Barnet 007C","E01000279",14.1,31.1,0.4,5.6,35.0,3.2,2.0,1.0
"Barnet 007D","E01000280",16.6,38.6,1.3,6.6,21.7,4.9,1.3,2.3
"Barnet 007E","E01000286",27.3,45.3,0.7,6.6,2.3,8.3,0.5,1.3
"Barnet 007F","E01000290",24.5,41.8,0.6,6.8,9.6,8.2,0.4,1.2
"Barnet 008A","E01000271",18.5,41.7,0.7,5.6,14.8,7.5,0.4,1.5
"Barnet 008B","E01000272",17.1,43.8,0.4,9.1,13.3,6.7,0.1,1.6
"Barnet 008C","E01000273",24.9,40.0,0.8,6.0,10.4,8.9,0.9,1.7
"Barnet 008D","E01000281",28.8,38.2,1.6,6.2,7.4,7.8,0.1,1.7
"Barnet 008E","E01000282",24.3,41.6,0.9,7.6,10.2,6.4,0.6,1.1
"Barnet 009A","E01000115",16.8,41.0,1.5,10.1,8.4,12.4,0.4,2.6
"Barnet 009B","E01000116",23.9,47.1,0.2,4.3,4.6,10.3,0.6,2.5
"Barnet 009C","E01000119",19.5,42.4,0.7,7.4,3.2,15.3,0.8,3.0
"Barnet 009D","E01000120",18.1,42.2,0.4,9.2,5.8,12.6,0.5,3.0
"Barnet 009E","E01000122",19.9,44.2,0.8,7.6,3.2,13.1,1.5,1.3
"Barnet 010A","E01000117",24.4,50.2,0.1,3.8,4.1,6.2,0.6,2.0
"Barnet 010B","E01000118",20.7,50.1,0.7,5.7,3.5,9.9,0.3,1.6
"Barnet 010C","E01000121",26.7,43.1,0.4,6.6,2.6,10.5,0.0,3.3
"Barnet 010D","E01000123",24.2,44.3,2.2,5.7,2.2,11.2,0.6,2.0
"Barnet 010E","E01000124",26.1,47.0,1.1,4.5,1.7,11.2,0.4,1.6
"Barnet 011A","E01000265",21.6,49.5,0.6,5.4,2.9,10.5,0.0,2.0
"Barnet 011B","E01000266",15.0,47.3,0.5,7.7,16.1,5.0,0.8,1.0
"Barnet 011C","E01000274",23.1,46.4,0.6,6.3,3.5,12.3,0.0,1.0
"Barnet 011D","E01000320",24.6,41.0,1.5,7.1,6.5,7.8,0.2,2.0
"Barnet 011E","E01000322",26.1,42.0,0.9,3.7,5.5,12.4,0.2,1.1
"Barnet 012A","E01000275",19.8,28.4,3.3,8.3,15.4,9.6,0.2,3.6
"Barnet 012B","E01000277",25.4,37.5,0.7,5.0,7.3,12.1,0.5,3.0
"Barnet 012C","E01000283",14.4,30.7,0.9,8.3,27.2,6.6,1.0,3.3
"Barnet 012D","E01000284",24.4,41.5,0.6,5.8,5.8,11.0,0.2,1.9
"Barnet 012E","E01000321",26.5,42.4,1.7,4.8,7.2,6.6,0.7,1.4
"Barnet 013A","E01000195",15.1,49.6,0.5,3.9,6.1,16.7,0.0,0.7
"Barnet 013B","E01000229",14.0,40.3,2.0,4.2,18.6,12.9,0.1,1.3
"Barnet 013C","E01000230",7.5,16.6,1.1,5.9,47.8,9.2,0.0,1.3
"Barnet 013D","E01000231",15.2,39.2,2.5,11.1,4.3,17.4,0.7,2.2
"Barnet 013E","E01000232",11.6,28.9,0.8,10.0,27.4,11.7,0.3,2.5
"Barnet 013F","E01000233",12.8,32.4,0.8,7.5,21.9,11.2,0.5,2.1
"Barnet 014A","E01000186",4.2,16.0,0.9,10.6,55.8,2.0,0.3,3.0
"Barnet 014B","E01000187",9.4,20.8,0.1,5.4,44.5,9.0,0.2,3.2
"Barnet 014C","E01000188",6.2,12.1,0.5,14.3,46.9,8.8,0.1,3.8
