
"TS008 - Sex"
"ONS Crown Copyright Reserved [from Nomis on 7 January 2026]"
"Population :","All usual residents"
"Units      :","Persons"
"Date       :","2021"

"2021 super output area - lower layer","mnemonic","Female","Male"

"Barking and Dagenham 001A","E01000027",53.7,46.3
"Barking and Dagenham 001B","E01000028",53.7,46.3
"Barking and Dagenham 001C","E01000029",49.8,50.2
"Barking and Dagenham 001D","E01000030",53.3,46.7
"Barking and Dagenham 002A","E01000031",51.1,48.9
"Barking and Dagenham 002B","E01000032",50.5,49.5
"Barking and Dagenham 002C","E01000110",50.1,49.9
"Barking and Dagenham 002D","E01000111",52.8,47.2
"Barking and Dagenham 002E","E01000112",50.9,49.1
"Barking and Dagenham 002F","E01000113",47.7,52.3
"Barking and Dagenham 003A","E01000034",52.4,47.6
"Barking and Dagenham 003B","E01000037",49.3,50.7
"Barking and Dagenham 003C","E01000038",52.3,47.7
"Barking and Dagenham 003D","E01000039",50.7,49.3
"Barking and Dagenham 004A","E01000063",48.6,51.4
"Barking and Dagenham 004B","E01000100",53.0,47.0
"Barking and Dagenham 004C","E01000101",51.2,48.8
"Barking and Dagenham 004E","E01000114",50.2,49.8
"Barking and Dagenham 004F","E01034469",53.4,46.6
"Barking and Dagenham 004G","E01034470",51.3,48.7
"Barking and Dagenham 006A","E01000033",52.1,47.9
"Barking and Dagenham 006B","E01000060",53.0,47.0
"Barking and Dagenham 006C","E01000061",54.0,46.0
"Barking and Dagenham 006D","E01000062",52.1,47.9
"Barking and Dagenham 006E","E01000064",52.2,47.8
"Barking and Dagenham 007A","E01000065",50.5,49.5
"Barking and Dagenham 007B","E01000078",52.4,47.6
"Barking and Dagenham 007C","E01000080",50.1,49.9
"Barking and Dagenham 007D","E01000081",51.3,48.7
"Barking and Dagenham 007E","E01000082",51.6,48.4
"Barking and Dagenham 007F","E01000083",54.1,45.9
"Barking and Dagenham 007G","E01000102",52.1,47.9
"Barking and Dagenham 008A","E01000021",50.6,49.4
"Barking and Dagenham 008B","E01000022",51.6,48.4
"Barking and Dagenham 008D","E01000024",50.2,49.8
"Barking and Dagenham 008E","E01000025",48.4,51.6
"Barking and Dagenham 008F","E01000077",50.7,49.3
"Barking and Dagenham 008G","E01034471",51.6,48.4
"Barking and Dagenham 008H","E01034472",53.7,46.3
"Barking and Dagenham 009A","E01000015",53.2,46.8
"Barking and Dagenham 009B","E01000016",53.0,47.0
