
"TS054 - Tenure"
"ONS Crown Copyright Reserved [from Nomis on 7 January 2026]"
"Population :","All households"
"Units      :","Households"
"Date       :","2021"

"2021 super output area - lower layer","mnemonic","Owned","Shared ownership","Social rented","Private rented","Lives rent free","Owns with a mortgage or loan or shared ownership","Private rented or lives rent free"

"Barking and Dagenham 001A","E01000027",40.0,0.6,45.6,13.9,0.0,27.6,13.9
"Barking and Dagenham 001B","E01000028",31.1,0.0,50.9,17.1,1.0,21.3,18.0
"Barking and Dagenham 001C","E01000029",75.5,0.4,7.3,16.7,0.0,34.3,16.7
"Barking and Dagenham 001D","E01000030",29.2,0.2,58.6,11.6,0.4,21.0,12.0
"Barking and Dagenham 002A","E01000031",69.7,0.3,6.4,23.5,0.0,38.8,23.5
"Barking and Dagenham 002B","E01000032",51.9,0.1,14.5,33.5,0.0,28.5,33.5
"Barking and Dagenham 002C","E01000110",74.3,1.0,1.9,22.8,0.0,41.6,22.8
"Barking and Dagenham 002D","E01000111",44.4,0.3,33.8,21.4,0.1,28.1,21.5
"Barking and Dagenham 002E","E01000112",51.4,1.4,10.7,36.4,0.0,32.1,36.4
"Barking and Dagenham 002F","E01000113",49.2,0.6,6.4,43.8,0.0,27.9,43.8
"Barking and Dagenham 003A","E01000034",44.6,1.8,38.7,14.9,0.0,32.3,14.9
"Barking and Dagenham 003B","E01000037",79.5,0.5,3.2,16.8,0.0,43.8,16.8
"Barking and Dagenham 003C","E01000038",73.0,0.5,12.4,14.1,0.0,39.9,14.1
"Barking and Dagenham 003D","E01000039",67.6,0.2,13.2,18.8,0.2,40.7,19.0
"Barking and Dagenham 004A","E01000063",50.2,0.0,31.8,17.4,0.5,33.4,17.9
"Barking and Dagenham 004B","E01000100",40.2,0.2,37.5,22.0,0.2,27.9,22.1
"Barking and Dagenham 004C","E01000101",42.0,0.5,35.3,21.8,0.3,27.3,22.1
"Barking and Dagenham 004E","E01000114",59.9,1.3,9.5,29.3,0.0,41.5,29.3
"Barking and Dagenham 004F","E01034469",60.7,5.4,22.1,11.6,0.2,55.9,11.8
"Barking and Dagenham 004G","E01034470",60.0,0.4,14.4,24.9,0.2,38.5,25.2
"Barking and Dagenham 006A","E01000033",38.1,0.5,48.9,12.1,0.4,23.8,12.5
"Barking and Dagenham 006B","E01000060",39.3,0.4,43.2,17.2,0.0,25.3,17.2
"Barking and Dagenham 006C","E01000061",21.6,4.8,67.3,5.9,0.4,23.5,6.3
"Barking and Dagenham 006D","E01000062",51.9,0.8,28.1,19.0,0.3,32.9,19.2
"Barking and Dagenham 006E","E01000064",45.6,1.8,26.4,26.1,0.1,34.6,26.2
"Barking and Dagenham 007A","E01000065",35.3,0.4,45.7,18.3,0.3,22.2,18.6
"Barking and Dagenham 007B","E01000078",44.0,0.6,32.6,22.3,0.5,30.8,22.8
"Barking and Dagenham 007C","E01000080",46.7,0.2,36.3,16.8,0.0,30.9,16.8
"Barking and Dagenham 007D","E01000081",53.2,0.6,29.0,17.2,0.0,37.1,17.2
"Barking and Dagenham 007E","E01000082",40.6,4.3,33.4,21.4,0.3,33.6,21.7
"Barking and Dagenham 007F","E01000083",48.2,0.5,31.4,19.9,0.0,31.3,19.9
"Barking and Dagenham 007G","E01000102",40.5,0.0,38.0,21.0,0.5,25.3,21.5
"Barking and Dagenham 008A","E01000021",35.7,0.7,26.9,36.7,0.0,24.5,36.7
"Barking and Dagenham 008B","E01000022",48.9,4.0,24.8,22.1,0.2,36.5,22.3
"Barking and Dagenham 008D","E01000024",49.2,0.2,31.6,18.7,0.2,33.8,19.0
"Barking and Dagenham 008E","E01000025",38.9,1.9,40.8,18.4,0.0,27.4,18.4
"Barking and Dagenham 008F","E01000077",37.7,0.3,39.2,22.5,0.3,26.0,22.8
"Barking and Dagenham 008G","E01034471",28.1,3.6,38.7,29.4,0.1,24.0,29.5
"Barking and Dagenham 008H","E01034472",24.4,1.8,35.1,38.7,0.0,22.2,38.7
"Barking and Dagenham 009A","E01000015",38.4,4.0,31.1,26.4,0.2,31.2,26.6
"Barking and Dagenham 009B","E01000016",49.8,0.5,32.0,17.7,0.0,32.8,17.7
"Barking and Dagenham 009C","E01000017",46.1,0.8,35.5,17.4,0.2,31.8,17.6
"Barking and Dagenham 009D","E01000018",41.9,0.8,38.3,19.1,0.0,26.5,19.1
"Barking and Dagenham 009E","E01000079",42.6,0.5,32.2,24.6,0.2,29.1,24.8
"Barking and Dagenham 010A","E01000035",49.6,0.7,20.5,29.2,0.0,29.2,29.2
"Barking and Dagenham 010B","E01000036",66.5,0.2,4.7,28.7,0.0,39.1,28.7
"Barking and Dagenham 010C","E01000107",61.1,0.8,13.7,24.3,0.0,32.1,24.3
"Barking and Dagenham 010D","E01000108",48.4,0.6,18.4,32.7,0.0,27.3,32.7
"Barking and Dagenham 011A","E01000066",61.3,0.3,22.1,16.3,0.0,38.9,16.3
"Barking and Dagenham 011B","E01000067",64.1,0.6,15.3,20.0,0.0,38.1,20.0
"Barking and Dagenham 011C","E01000069",83.4,0.2,2.4,14.0,0.0,51.1,14.0
"Barking and Dagenham 011D","E01000070",73.2,0.0,5.2,21.6,0.0,41.5,21.6
"Barking and Dagenham 011E","E01000071",60.5,0.4,12.7,26.4,0.0,40.0,26.4
"Barking and Dagenham 012A","E01000057",36.8,2.3,40.0,20.2,0.8,26.2,20.9
"Barking and Dagenham 012B","E01000073",42.9,0.3,34.1,22.3,0.5,29.6,22.7
"Barking and Dagenham 012C","E01000074",39.8,0.2,40.3,19.5,0.3,27.3,19.8
"Barking and Dagenham 012D","E01000075",50.0,0.2,29.7,20.2,0.0,27.7,20.2
"Barking and Dagenham 012E","E01000076",35.2,0.6,40.7,23.2,0.3,24.2,23.5
"Barking and Dagenham 013A","E01000013",41.0,0.3,30.5,27.9,0.2,27.5,28.1
"Barking and Dagenham 013B","E01000014",45.0,0.6,33.8,20.3,0.3,28.1,20.7
"Barking and Dagenham 013C","E01000059",47.9,0.2,34.7,17.0,0.2,30.7,17.2
"Barking and Dagenham 013D","E01000084",40.2,0.4,38.0,21.5,0.0,27.5,21.5
"Barking and Dagenham 013E","E01000085",32.3,0.7,42.2,24.7,0.2,21.4,24.8
"Barking and Dagenham 013F","E01000086",42.6,1.0,35.7,20.7,0.0,28.7,20.7
"Barking and Dagenham 014A","E01000103",43.7,5.4,31.1,19.5,0.2,32.6,19.7
"Barking and Dagenham 014B","E01000104",31.0,2.0,52.5,14.3,0.1,20.8,14.4
"Barking and Dagenham 014C","E01000105",25.1,1.8,56.9,16.1,0.0,17.5,16.1
"Barking and Dagenham 014D","E01000106",29.1,0.7,42.4,27.5,0.3,16.7,27.8
"Barking and Dagenham 015A","E01000007",16.9,9.7,38.0,35.0,0.3,23.8,35.4
"Barking and Dagenham 015B","E01000008",15.0,1.1,56.6,26.8,0.5,10.2,27.4
"Barking and Dagenham 015D","E01000012",25.1,3.7,28.5,42.5,0.3,19.8,42.7
"Barking and Dagenham 015E","E01034473",27.6,0.2,13.8,58.1,0.2,14.8,58.3
"Barking and Dagenham 015F","E01034474",14.8,2.9,31.2,51.0,0.1,14.9,51.1
"Barking and Dagenham 016A","E01000006",48.8,0.7,4.0,46.5,0.0,29.5,46.5
"Barking and Dagenham 016B","E01000009",33.4,0.0,19.4,46.8,0.3,15.2,47.2
"Barking and Dagenham 016C","E01000011",41.6,0.2,5.9,52.2,0.0,20.5,52.2
"Barking and Dagenham 016D","E01000044",44.2,0.6,18.5,36.8,0.0,28.0,36.8
"Barking and Dagenham 016E","E01000068",68.1,0.4,1.3,30.3,0.0,37.6,30.3
"Barking and Dagenham 017A","E01000041",47.3,0.3,30.9,21.3,0.2,31.6,21.5
"Barking and Dagenham 017B","E01000042",34.5,0.3,43.7,21.5,0.0,24.2,21.5
"Barking and Dagenham 017C","E01000045",42.9,0.5,34.3,22.3,0.0,28.4,22.3
"Barking and Dagenham 017D","E01000046",42.4,1.4,36.6,19.3,0.3,30.2,19.6
"Barking and Dagenham 017E","E01000072",32.1,0.7,41.6,24.8,0.8,22.5,25.6
"Barking and Dagenham 018A","E01000054",45.8,0.0,35.2,18.9,0.2,29.7,19.1
