
"TS038 - Disability"
"ONS Crown Copyright Reserved [from Nomis on 6 January 2026]"
"Population :","All usual residents"
"Units      :","Persons"
"Date       :","2021"

"2021 super output area - lower layer","mnemonic","Disabled under the Equality Act: Day-to-day activities limited a lot","Disabled under the Equality Act: Day-to-day activities limited a little"

"Barking and Dagenham 001A","E01000027",9.7,7.5
"Barking and Dagenham 001B","E01000028",8.5,6.6
"Barking and Dagenham 001C","E01000029",6.9,7.7
"Barking and Dagenham 001D","E01000030",7.1,7.9
"Barking and Dagenham 002A","E01000031",5.5,7.2
"Barking and Dagenham 002B","E01000032",6.7,7.8
"Barking and Dagenham 002C","E01000110",4.3,6.3
"Barking and Dagenham 002D","E01000111",6.5,6.9
"Barking and Dagenham 002E","E01000112",4.6,6.3
"Barking and Dagenham 002F","E01000113",4.5,6.3
"Barking and Dagenham 003A","E01000034",10.2,10.0
"Barking and Dagenham 003B","E01000037",4.9,7.4
"Barking and Dagenham 003C","E01000038",6.2,7.7
"Barking and Dagenham 003D","E01000039",7.0,7.0
"Barking and Dagenham 004A","E01000063",6.5,8.2
"Barking and Dagenham 004B","E01000100",8.1,7.8
"Barking and Dagenham 004C","E01000101",7.2,8.2
"Barking and Dagenham 004E","E01000114",4.5,5.1
"Barking and Dagenham 004F","E01034469",3.8,4.8
"Barking and Dagenham 004G","E01034470",4.9,6.7
"Barking and Dagenham 006A","E01000033",8.1,9.1
"Barking and Dagenham 006B","E01000060",7.4,7.4
"Barking and Dagenham 006C","E01000061",8.2,9.7
"Barking and Dagenham 006D","E01000062",6.1,7.4
"Barking and Dagenham 006E","E01000064",8.4,7.9
"Barking and Dagenham 007A","E01000065",9.8,8.5
"Barking and Dagenham 007B","E01000078",8.0,7.7
"Barking and Dagenham 007C","E01000080",8.3,7.5
"Barking and Dagenham 007D","E01000081",5.2,7.7
"Barking and Dagenham 007E","E01000082",6.9,7.9
"Barking and Dagenham 007F","E01000083",7.5,10.0
"Barking and Dagenham 007G","E01000102",7.6,7.2
"Barking and Dagenham 008A","E01000021",7.9,6.4
"Barking and Dagenham 008B","E01000022",6.1,6.1
"Barking and Dagenham 008D","E01000024",7.5,7.0
"Barking and Dagenham 008E","E01000025",6.0,7.9
"Barking and Dagenham 008F","E01000077",6.9,7.4
"Barking and Dagenham 008G","E01034471",5.0,5.5
"Barking and Dagenham 008H","E01034472",3.8,3.9
"Barking and Dagenham 009A","E01000015",5.0,6.8
"Barking and Dagenham 009B","E01000016",6.0,6.3
"Barking and Dagenham 009C","E01000017",8.0,8.2
"Barking and Dagenham 009D","E01000018",7.3,6.6
"Barking and Dagenham 009E","E01000079",7.6,7.0
"Barking and Dagenham 010A","E01000035",7.9,7.0
"Barking and Dagenham 010B","E01000036",5.2,7.8
"Barking and Dagenham 010C","E01000107",7.4,8.4
"Barking and Dagenham 010D","E01000108",5.2,6.4
"Barking and Dagenham 011A","E01000066",4.8,6.9
"Barking and Dagenham 011B","E01000067",5.1,7.4
"Barking and Dagenham 011C","E01000069",4.9,5.2
"Barking and Dagenham 011D","E01000070",5.7,7.4
"Barking and Dagenham 011E","E01000071",5.3,5.8
"Barking and Dagenham 012A","E01000057",5.8,8.0
"Barking and Dagenham 012B","E01000073",7.1,6.7
"Barking and Dagenham 012C","E01000074",7.0,7.3
"Barking and Dagenham 012D","E01000075",7.0,6.9
"Barking and Dagenham 012E","E01000076",8.2,8.3
"Barking and Dagenham 013A","E01000013",6.8,8.0
"Barking and Dagenham 013B","E01000014",7.0,7.8
"Barking and Dagenham 013C","E01000059",8.4,8.6
"Barking and Dagenham 013D","E01000084",7.8,7.2
"Barking and Dagenham 013E","E01000085",6.5,7.8
"Barking and Dagenham 013F","E01000086",6.6,9.0
"Barking and Dagenham 014A","E01000103",5.3,6.9
"Barking and Dagenham 014B","E01000104",6.3,7.6
"Barking and Dagenham 014C","E01000105",7.9,8.3
"Barking and Dagenham 014D","E01000106",5.7,7.8
"Barking and Dagenham 015A","E01000007",4.0,5.3
"Barking and Dagenham 015B","E01000008",4.4,7.5
"Barking and Dagenham 015D","E01000012",4.4,6.3
"Barking and Dagenham 015E","E01034473",3.6,5.8
"Barking and Dagenham 015F","E01034474",3.4,4.1
"Barking and Dagenham 016A","E01000006",4.8,6.4
"Barking and Dagenham 016B","E01000009",6.1,6.5
"Barking and Dagenham 016C","E01000011",5.5,4.6
"Barking and Dagenham 016D","E01000044",6.2,6.3
"Barking and Dagenham 016E","E01000068",5.1,7.9
"Barking and Dagenham 017A","E01000041",5.2,7.4
"Barking and Dagenham 017B","E01000042",6.5,8.6
"Barking and Dagenham 017C","E01000045",7.0,6.9
"Barking and Dagenham 017D","E01000046",7.4,7.2
"Barking and Dagenham 017E","E01000072",7.0,7.8
"Barking and Dagenham 018A","E01000054",6.5,7.1
"Barking and Dagenham 018B","E01000055",6.5,7.9
"Barking and Dagenham 018C","E01000056",9.5,8.7
"Barking and Dagenham 018D","E01000058",6.5,7.7
"Barking and Dagenham 018E","E01000095",4.8,7.1
"Barking and Dagenham 019A","E01000040",6.4,6.2
"Barking and Dagenham 019B","E01000043",6.5,6.8
"Barking and Dagenham 019C","E01000050",5.7,6.2
"Barking and Dagenham 019D","E01000052",5.2,6.5
"Barking and Dagenham 019F","E01034475",7.1,6.4
"Barking and Dagenham 019G","E01034476",4.9,4.9
"Barking and Dagenham 019H","E01034477",2.1,3.3
"Barking and Dagenham 019I","E01034478",2.1,3.2
"Barking and Dagenham 020A","E01000053",7.5,7.7
"Barking and Dagenham 020B","E01000087",6.4,5.8
"Barking and Dagenham 020C","E01000088",8.5,6.3
"Barking and Dagenham 020D","E01000089",4.7,4.7
"Barking and Dagenham 020E","E01000090",4.6,6.2
"Barking and Dagenham 021C","E01000049",4.4,7.6
"Barking and Dagenham 021D","E01000051",2.1,4.7
"Barking and Dagenham 021E","E01033587",3.3,4.8
"Barking and Dagenham 021G","E01034479",5.7,5.4
"Barking and Dagenham 022A","E01000091",8.1,7.5
"Barking and Dagenham 022B","E01000093",8.2,7.0
"Barking and Dagenham 022C","E01000094",4.0,4.8
"Barking and Dagenham 022D","E01000096",7.2,6.7
"Barking and Dagenham 023A","E01000019",6.8,6.7
"Barking and Dagenham 023B","E01000020",8.3,8.5
"Barking and Dagenham 023C","E01000097",7.7,7.3
"Barking and Dagenham 023D","E01000098",7.8,8.5
"Barking and Dagenham 023E","E01000099",5.3,6.6
"Barking and Dagenham 023F","E01032580",6.9,7.6
"Barnet 001A","E01000248",6.2,9.5
"Barnet 001B","E01000249",4.4,7.9
"Barnet 001C","E01000250",6.3,8.3
"Barnet 001D","E01000254",5.5,7.8
"Barnet 001E","E01000292",6.0,9.1
"Barnet 001F","E01000293",4.1,8.7
"Barnet 002A","E01000167",8.2,9.8
"Barnet 002B","E01000246",4.8,8.2
"Barnet 002C","E01000247",4.9,7.3
"Barnet 002D","E01000251",9.0,9.0
"Barnet 002E","E01000252",6.0,10.4
"Barnet 003A","E01000166",6.7,7.4
"Barnet 003B","E01000168",5.8,7.6
"Barnet 003C","E01000169",5.6,8.0
"Barnet 003D","E01000172",5.0,8.3
"Barnet 004A","E01000285",5.7,7.9
"Barnet 004B","E01000287",9.1,8.6
"Barnet 004C","E01000288",4.1,8.7
"Barnet 004D","E01000289",9.0,7.1
"Barnet 004E","E01000291",9.9,9.7
"Barnet 004F","E01000294",7.3,8.5
"Barnet 005A","E01000267",4.6,7.3
"Barnet 005B","E01000268",5.2,7.0
"Barnet 005C","E01000269",6.0,7.4
"Barnet 005D","E01000270",4.8,7.5
"Barnet 006A","E01000170",6.6,8.2
"Barnet 006B","E01000171",5.7,7.7
"Barnet 006C","E01000173",4.4,8.4
"Barnet 006D","E01000174",6.5,9.5
"Barnet 006E","E01000175",3.3,6.5
"Barnet 007A","E01000228",5.6,6.2
"Barnet 007B","E01000253",6.4,5.4
"Barnet 007C","E01000279",3.5,6.7
"Barnet 007D","E01000280",4.5,5.5
"Barnet 007E","E01000286",7.6,8.9
"Barnet 007F","E01000290",7.2,9.1
"Barnet 008A","E01000271",5.9,7.0
"Barnet 008B","E01000272",7.4,6.7
"Barnet 008C","E01000273",8.0,9.0
"Barnet 008D","E01000281",4.7,7.1
"Barnet 008E","E01000282",4.6,6.7
"Barnet 009A","E01000115",5.4,8.0
"Barnet 009B","E01000116",5.2,7.7
"Barnet 009C","E01000119",5.6,7.4
"Barnet 009D","E01000120",4.8,7.8
"Barnet 009E","E01000122",4.6,9.0
"Barnet 010A","E01000117",6.3,8.1
"Barnet 010B","E01000118",4.2,7.0
"Barnet 010C","E01000121",12.4,10.2
"Barnet 010D","E01000123",3.7,7.2
"Barnet 010E","E01000124",4.6,8.3
"Barnet 011A","E01000265",6.0,7.9
"Barnet 011B","E01000266",3.6,5.5
"Barnet 011C","E01000274",6.1,6.9
"Barnet 011D","E01000320",5.3,7.8
"Barnet 011E","E01000322",7.5,6.0
"Barnet 012A","E01000275",6.6,8.5
"Barnet 012B","E01000277",7.1,7.4
"Barnet 012C","E01000283",3.4,7.4
"Barnet 012D","E01000284",5.9,7.6
"Barnet 012E","E01000321",6.1,7.5
"Barnet 013A","E01000195",7.3,7.6
"Barnet 013B","E01000229",6.9,7.2
"Barnet 013C","E01000230",5.4,6.2
"Barnet 013D","E01000231",5.5,6.0
"Barnet 013E","E01000232",6.8,7.9
"Barnet 013F","E01000233",2.8,5.5
"Barnet 014A","E01000186",3.3,6.2
"Barnet 014B","E01000187",4.8,7.4
"Barnet 014C","E01000188",5.9,6.8
"Barnet 014D","E01000189",5.7,5.5
"Barnet 014E","E01000190",5.5,7.6
"Barnet 014F","E01000191",5.7,7.7
"Barnet 015A","E01000158",7.4,7.3
"Barnet 015B","E01000159",5.2,7.9
"Barnet 015C","E01000160",3.1,6.2
"Barnet 015D","E01000161",6.5,8.5
"Barnet 015E","E01000162",11.8,7.6
"Barnet 015F","E01000324",6.1,7.2
"Barnet 016A","E01000256",3.3,6.9
"Barnet 016B","E01000258",7.3,6.3
"Barnet 016C","E01000263",2.5,5.6
"Barnet 016D","E01000264",4.5,5.5
"Barnet 017A","E01000255",9.5,8.3
"Barnet 017B","E01000257",7.0,9.5
"Barnet 017C","E01000261",5.4,8.3
"Barnet 017E","E01033911",3.9,6.5
"Barnet 017F","E01033912",3.6,4.6
"Barnet 018A","E01000192",5.9,6.4
"Barnet 018B","E01000193",5.7,7.6
"Barnet 018C","E01000194",4.6,6.1
"Barnet 018D","E01000226",6.6,7.8
"Barnet 018E","E01000227",5.5,6.0
"Barnet 019A","E01000299",5.8,8.2
"Barnet 019B","E01000300",4.4,6.8
"Barnet 019C","E01000302",7.4,8.7
"Barnet 019D","E01000317",5.8,8.3
"Barnet 019E","E01000318",6.3,7.3
"Barnet 019F","E01000323",7.7,9.3
"Barnet 020A","E01000276",3.3,6.0
"Barnet 020B","E01000278",2.8,7.0
"Barnet 020C","E01000301",5.9,7.0
"Barnet 020D","E01000303",4.9,6.9
"Barnet 020E","E01000304",6.0,6.8
"Barnet 021A","E01000130",8.0,6.8
"Barnet 021B","E01000132",6.6,6.0
"Barnet 021C","E01000133",7.9,7.6
"Barnet 021D","E01000234",3.8,6.3
"Barnet 021E","E01000235",5.5,7.3
"Barnet 022A","E01000156",3.8,6.3
"Barnet 022B","E01000157",4.2,7.0
"Barnet 022C","E01000163",9.8,7.4
"Barnet 022D","E01000164",6.8,7.4
"Barnet 022E","E01000165",7.1,6.1
"Barnet 022F","E01000315",9.5,8.8
"Barnet 023A","E01000197",4.9,6.6
"Barnet 023B","E01000295",4.5,6.1
"Barnet 023C","E01000296",3.9,6.7
"Barnet 023D","E01000298",4.3,7.0
"Barnet 024B","E01000127",6.2,7.1
"Barnet 024C","E01000128",7.0,5.3
