
"TS040 - Number of disabled people in the household"
"ONS Crown Copyright Reserved [from Nomis on 7 January 2026]"
"Population :","All households"
"Units      :","Households"
"Date       :","2021"

"2021 super output area - lower layer","mnemonic","1 person disabled under the Equality Act in household","2 or more people disabled under the Equality Act in household"

"Barking and Dagenham 001A","E01000027",25.8,10.9
"Barking and Dagenham 001B","E01000028",28.0,5.5
"Barking and Dagenham 001C","E01000029",22.2,7.9
"Barking and Dagenham 001D","E01000030",28.3,6.6
"Barking and Dagenham 002A","E01000031",20.8,7.9
"Barking and Dagenham 002B","E01000032",23.4,7.6
"Barking and Dagenham 002C","E01000110",17.2,5.6
"Barking and Dagenham 002D","E01000111",26.6,5.1
"Barking and Dagenham 002E","E01000112",18.0,6.0
"Barking and Dagenham 002F","E01000113",22.0,5.3
"Barking and Dagenham 003A","E01000034",27.6,10.5
"Barking and Dagenham 003B","E01000037",20.9,4.6
"Barking and Dagenham 003C","E01000038",23.8,7.6
"Barking and Dagenham 003D","E01000039",22.8,5.5
"Barking and Dagenham 004A","E01000063",25.7,6.9
"Barking and Dagenham 004B","E01000100",30.2,7.8
"Barking and Dagenham 004C","E01000101",25.4,8.8
"Barking and Dagenham 004E","E01000114",17.8,6.1
"Barking and Dagenham 004F","E01034469",14.9,5.9
"Barking and Dagenham 004G","E01034470",20.7,6.8
"Barking and Dagenham 006A","E01000033",29.0,7.8
"Barking and Dagenham 006B","E01000060",24.9,6.9
"Barking and Dagenham 006C","E01000061",29.1,6.4
"Barking and Dagenham 006D","E01000062",26.4,5.7
"Barking and Dagenham 006E","E01000064",24.0,7.5
"Barking and Dagenham 007A","E01000065",29.0,7.2
"Barking and Dagenham 007B","E01000078",25.0,10.0
"Barking and Dagenham 007C","E01000080",28.0,8.4
"Barking and Dagenham 007D","E01000081",24.5,6.7
"Barking and Dagenham 007E","E01000082",22.0,8.6
"Barking and Dagenham 007F","E01000083",23.7,12.6
"Barking and Dagenham 007G","E01000102",24.2,8.3
"Barking and Dagenham 008A","E01000021",25.5,6.8
"Barking and Dagenham 008B","E01000022",22.8,6.3
"Barking and Dagenham 008D","E01000024",27.2,8.9
"Barking and Dagenham 008E","E01000025",24.6,6.2
"Barking and Dagenham 008F","E01000077",27.7,6.4
"Barking and Dagenham 008G","E01034471",20.9,6.6
"Barking and Dagenham 008H","E01034472",16.9,2.2
"Barking and Dagenham 009A","E01000015",18.7,7.3
"Barking and Dagenham 009B","E01000016",20.4,7.0
"Barking and Dagenham 009C","E01000017",27.8,8.4
"Barking and Dagenham 009D","E01000018",22.0,7.8
"Barking and Dagenham 009E","E01000079",25.0,7.1
"Barking and Dagenham 010A","E01000035",21.3,6.2
"Barking and Dagenham 010B","E01000036",21.0,8.7
"Barking and Dagenham 010C","E01000107",25.4,7.3
"Barking and Dagenham 010D","E01000108",20.9,5.0
"Barking and Dagenham 011A","E01000066",21.9,7.4
"Barking and Dagenham 011B","E01000067",24.4,7.9
