
"TS063 - Occupation"
"ONS Crown Copyright Reserved [from Nomis on 7 January 2026]"
"Population :","All usual residents aged 16 years and over in employment the week before the census"
"Units      :","Persons"
"Date       :","2021"

"2021 super output area - lower layer","mnemonic","Total: All usual residents aged 16 years and over in employment the week before the census","6. Caring, leisure and other service occupations","8. Process, plant and machine operatives","9. Elementary occupations"

"Barking and Dagenham 001A","E01000027",100.0,11.7,10.4,13.7
"Barking and Dagenham 001B","E01000028",100.0,11.7,9.8,19.2
"Barking and Dagenham 001C","E01000029",100.0,8.9,7.9,12.0
"Barking and Dagenham 001D","E01000030",100.0,14.2,9.2,14.6
"Barking and Dagenham 002A","E01000031",100.0,10.4,5.9,10.1
"Barking and Dagenham 002B","E01000032",100.0,10.4,8.8,13.9
"Barking and Dagenham 002C","E01000110",100.0,7.6,7.7,13.2
"Barking and Dagenham 002D","E01000111",100.0,12.4,11.2,17.0
"Barking and Dagenham 002E","E01000112",100.0,8.9,7.6,14.6
"Barking and Dagenham 002F","E01000113",100.0,9.4,8.0,15.9
"Barking and Dagenham 003A","E01000034",100.0,11.8,9.2,14.5
"Barking and Dagenham 003B","E01000037",100.0,8.8,8.3,10.6
"Barking and Dagenham 003C","E01000038",100.0,8.9,8.9,12.3
"Barking and Dagenham 003D","E01000039",100.0,9.7,9.7,9.0
"Barking and Dagenham 004A","E01000063",100.0,12.7,11.2,13.6
"Barking and Dagenham 004B","E01000100",100.0,12.9,10.8,16.1
"Barking and Dagenham 004C","E01000101",100.0,12.9,10.2,17.1
"Barking and Dagenham 004E","E01000114",100.0,10.3,9.8,13.2
"Barking and Dagenham 004F","E01034469",100.0,9.9,4.9,9.2
"Barking and Dagenham 004G","E01034470",100.0,10.9,7.8,13.6
"Barking and Dagenham 006A","E01000033",100.0,14.3,8.1,19.2
"Barking and Dagenham 006B","E01000060",100.0,14.7,7.8,16.0
"Barking and Dagenham 006C","E01000061",100.0,15.4,8.8,17.8
"Barking and Dagenham 006D","E01000062",100.0,11.6,10.3,15.4
"Barking and Dagenham 006E","E01000064",100.0,12.4,9.3,16.6
"Barking and Dagenham 007A","E01000065",100.0,13.5,9.3,17.9
"Barking and Dagenham 007B","E01000078",100.0,12.9,11.0,15.1
"Barking and Dagenham 007C","E01000080",100.0,10.9,9.8,16.7
"Barking and Dagenham 007D","E01000081",100.0,11.6,9.7,18.4
"Barking and Dagenham 007E","E01000082",100.0,12.8,9.4,15.1
"Barking and Dagenham 007F","E01000083",100.0,11.0,10.1,16.8
"Barking and Dagenham 007G","E01000102",100.0,11.3,10.9,17.3
"Barking and Dagenham 008A","E01000021",100.0,13.9,9.5,15.2
"Barking and Dagenham 008B","E01000022",100.0,11.8,9.6,14.9
"Barking and Dagenham 008D","E01000024",100.0,9.7,11.9,16.9
"Barking and Dagenham 008E","E01000025",100.0,11.9,7.9,18.6
"Barking and Dagenham 008F","E01000077",100.0,14.1,9.7,17.8
"Barking and Dagenham 008G","E01034471",100.0,9.9,12.6,18.0
"Barking and Dagenham 008H","E01034472",100.0,9.1,6.3,16.6
"Barking and Dagenham 009A","E01000015",100.0,13.3,9.0,17.6
"Barking and Dagenham 009B","E01000016",100.0,12.4,9.0,16.8
"Barking and Dagenham 009C","E01000017",100.0,13.0,8.7,16.1
"Barking and Dagenham 009D","E01000018",100.0,12.0,7.6,18.1
"Barking and Dagenham 009E","E01000079",100.0,12.2,10.7,15.8
"Barking and Dagenham 010A","E01000035",100.0,12.5,11.4,16.3
"Barking and Dagenham 010B","E01000036",100.0,8.4,11.7,17.3
"Barking and Dagenham 010C","E01000107",100.0,10.0,11.2,13.8
"Barking and Dagenham 010D","E01000108",100.0,12.9,10.8,15.4
"Barking and Dagenham 011A","E01000066",100.0,10.1,8.9,10.4
"Barking and Dagenham 011B","E01000067",100.0,10.1,10.5,10.1
"Barking and Dagenham 011C","E01000069",100.0,8.9,10.7,7.5
"Barking and Dagenham 011D","E01000070",100.0,8.6,10.0,10.2
"Barking and Dagenham 011E","E01000071",100.0,8.6,8.8,11.3
"Barking and Dagenham 012A","E01000057",100.0,15.5,8.7,15.9
"Barking and Dagenham 012B","E01000073",100.0,10.5,9.8,15.4
"Barking and Dagenham 012C","E01000074",100.0,12.5,9.6,15.8
"Barking and Dagenham 012D","E01000075",100.0,13.2,8.5,16.1
"Barking and Dagenham 012E","E01000076",100.0,13.7,11.9,17.1
"Barking and Dagenham 013A","E01000013",100.0,13.2,9.2,15.8
"Barking and Dagenham 013B","E01000014",100.0,11.1,10.6,18.0
"Barking and Dagenham 013C","E01000059",100.0,14.0,10.5,17.5
"Barking and Dagenham 013D","E01000084",100.0,10.7,11.8,21.7
"Barking and Dagenham 013E","E01000085",100.0,15.6,9.0,18.3
"Barking and Dagenham 013F","E01000086",100.0,10.9,10.4,19.4
"Barking and Dagenham 014A","E01000103",100.0,12.4,11.4,15.3
"Barking and Dagenham 014B","E01000104",100.0,15.5,10.4,15.0
"Barking and Dagenham 014C","E01000105",100.0,14.5,10.9,17.4
"Barking and Dagenham 014D","E01000106",100.0,13.9,10.9,17.8
"Barking and Dagenham 015A","E01000007",100.0,12.1,6.1,14.8
"Barking and Dagenham 015B","E01000008",100.0,15.4,10.2,21.2
"Barking and Dagenham 015D","E01000012",100.0,11.5,11.1,21.0
"Barking and Dagenham 015E","E01034473",100.0,7.7,6.8,21.5
"Barking and Dagenham 015F","E01034474",100.0,9.3,6.2,15.8
"Barking and Dagenham 016A","E01000006",100.0,9.2,11.4,18.2
"Barking and Dagenham 016B","E01000009",100.0,7.9,8.9,20.4
"Barking and Dagenham 016C","E01000011",100.0,7.1,11.7,20.5
"Barking and Dagenham 016D","E01000044",100.0,9.6,9.4,21.1
"Barking and Dagenham 016E","E01000068",100.0,7.9,7.5,12.7
"Barking and Dagenham 017A","E01000041",100.0,12.0,9.6,15.8
"Barking and Dagenham 017B","E01000042",100.0,11.9,8.4,18.4
"Barking and Dagenham 017C","E01000045",100.0,12.0,11.3,17.1
"Barking and Dagenham 017D","E01000046",100.0,13.4,8.6,16.5
"Barking and Dagenham 017E","E01000072",100.0,14.4,9.0,15.5
"Barking and Dagenham 018A","E01000054",100.0,13.9,10.7,13.9
"Barking and Dagenham 018B","E01000055",100.0,11.1,11.9,17.1
"Barking and Dagenham 018C","E01000056",100.0,13.9,9.5,15.0
"Barking and Dagenham 018D","E01000058",100.0,10.0,10.8,16.8
"Barking and Dagenham 018E","E01000095",100.0,10.3,8.4,13.5
"Barking and Dagenham 019A","E01000040",100.0,11.8,8.9,15.6
"Barking and Dagenham 019B","E01000043",100.0,9.0,8.7,16.8
"Barking and Dagenham 019C","E01000050",100.0,7.5,7.6,18.3
"Barking and Dagenham 019D","E01000052",100.0,8.3,10.4,18.4
"Barking and Dagenham 019F","E01034475",100.0,11.6,12.4,17.6
"Barking and Dagenham 019G","E01034476",100.0,10.3,9.1,13.4
"Barking and Dagenham 019H","E01034477",100.0,9.1,7.6,12.7
"Barking and Dagenham 019I","E01034478",100.0,7.8,7.5,9.6
"Barking and Dagenham 020A","E01000053",100.0,14.2,9.7,17.4
"Barking and Dagenham 020B","E01000087",100.0,11.3,9.3,20.0
"Barking and Dagenham 020C","E01000088",100.0,14.6,9.0,16.7
"Barking and Dagenham 020D","E01000089",100.0,15.5,11.6,17.5
"Barking and Dagenham 020E","E01000090",100.0,12.9,9.0,17.3
"Barking and Dagenham 021C","E01000049",100.0,18.1,10.9,19.4
"Barking and Dagenham 021D","E01000051",100.0,9.8,9.6,13.1
"Barking and Dagenham 021E","E01033587",100.0,10.2,7.6,11.7
"Barking and Dagenham 021G","E01034479",100.0,14.4,8.3,20.1
"Barking and Dagenham 022A","E01000091",100.0,15.7,10.3,18.4
"Barking and Dagenham 022B","E01000093",100.0,12.8,10.7,18.4
"Barking and Dagenham 022C","E01000094",100.0,13.0,7.5,16.3
"Barking and Dagenham 022D","E01000096",100.0,13.7,9.1,16.2
"Barking and Dagenham 023A","E01000019",100.0,9.9,11.2,18.0
"Barking and Dagenham 023B","E01000020",100.0,8.9,10.8,18.6
"Barking and Dagenham 023C","E01000097",100.0,11.8,10.7,16.5
"Barking and Dagenham 023D","E01000098",100.0,12.3,10.0,16.7
"Barking and Dagenham 023E","E01000099",100.0,10.7,8.2,13.5
"Barking and Dagenham 023F","E01032580",100.0,13.0,10.7,16.6
"Barnet 001A","E01000248",100.0,4.0,3.3,3.8
"Barnet 001B","E01000249",100.0,5.9,2.2,3.0
"Barnet 001C","E01000250",100.0,8.9,3.8,5.0
"Barnet 001D","E01000254",100.0,3.8,2.1,2.1
"Barnet 001E","E01000292",100.0,6.8,2.9,4.4
"Barnet 001F","E01000293",100.0,6.2,2.5,5.5
"Barnet 002A","E01000167",100.0,9.3,8.3,8.0
"Barnet 002B","E01000246",100.0,5.3,4.1,3.8
"Barnet 002C","E01000247",100.0,6.8,4.2,4.6
"Barnet 002D","E01000251",100.0,7.9,2.8,5.5
"Barnet 002E","E01000252",100.0,7.4,2.0,6.1
"Barnet 003A","E01000166",100.0,8.5,5.3,5.5
"Barnet 003B","E01000168",100.0,5.1,2.8,3.3
"Barnet 003C","E01000169",100.0,7.3,4.0,5.2
"Barnet 003D","E01000172",100.0,7.7,2.2,2.8
"Barnet 004A","E01000285",100.0,9.0,3.0,6.9
"Barnet 004B","E01000287",100.0,9.7,6.9,10.1
"Barnet 004C","E01000288",100.0,7.9,4.5,5.5
"Barnet 004D","E01000289",100.0,12.6,8.5,12.9
"Barnet 004E","E01000291",100.0,11.2,6.6,8.2
"Barnet 004F","E01000294",100.0,7.2,3.5,5.8
"Barnet 005A","E01000267",100.0,6.2,3.1,4.7
"Barnet 005B","E01000268",100.0,8.6,3.4,6.9
"Barnet 005C","E01000269",100.0,8.1,4.0,4.4
"Barnet 005D","E01000270",100.0,7.0,2.9,4.0
"Barnet 006A","E01000170",100.0,10.4,5.2,7.2
"Barnet 006B","E01000171",100.0,8.9,6.5,10.3
"Barnet 006C","E01000173",100.0,8.0,2.0,5.7
"Barnet 006D","E01000174",100.0,10.2,5.9,7.0
"Barnet 006E","E01000175",100.0,6.9,3.6,7.7
"Barnet 007A","E01000228",100.0,7.0,4.4,7.0
"Barnet 007B","E01000253",100.0,2.9,0.7,1.8
"Barnet 007C","E01000279",100.0,4.5,1.3,3.3
"Barnet 007D","E01000280",100.0,3.8,2.1,1.4
"Barnet 007E","E01000286",100.0,10.5,4.5,8.0
"Barnet 007F","E01000290",100.0,9.5,4.6,5.4
"Barnet 008A","E01000271",100.0,6.1,3.0,5.7
"Barnet 008B","E01000272",100.0,4.9,1.3,2.3
"Barnet 008C","E01000273",100.0,6.2,3.0,5.3
"Barnet 008D","E01000281",100.0,2.8,2.1,4.0
"Barnet 008E","E01000282",100.0,5.3,3.5,3.5
"Barnet 009A","E01000115",100.0,6.3,3.0,3.3
"Barnet 009B","E01000116",100.0,7.3,4.8,4.3
"Barnet 009C","E01000119",100.0,6.2,4.3,5.9
"Barnet 009D","E01000120",100.0,5.2,2.7,4.5
"Barnet 009E","E01000122",100.0,7.5,4.3,5.2
"Barnet 010A","E01000117",100.0,7.2,4.9,5.3
"Barnet 010B","E01000118",100.0,7.7,3.9,5.6
"Barnet 010C","E01000121",100.0,11.5,5.4,7.8
"Barnet 010D","E01000123",100.0,7.6,5.7,6.8
"Barnet 010E","E01000124",100.0,9.9,5.5,11.7
"Barnet 011A","E01000265",100.0,9.0,5.5,9.7
"Barnet 011B","E01000266",100.0,4.4,1.9,1.6
"Barnet 011C","E01000274",100.0,10.0,5.1,6.3
"Barnet 011D","E01000320",100.0,5.3,3.8,5.8
"Barnet 011E","E01000322",100.0,6.4,5.0,10.3
"Barnet 012A","E01000275",100.0,4.8,2.9,4.5
"Barnet 012B","E01000277",100.0,6.9,4.1,6.9
"Barnet 012C","E01000283",100.0,3.2,1.8,1.4
"Barnet 012D","E01000284",100.0,6.0,4.2,9.3
"Barnet 012E","E01000321",100.0,7.2,4.1,6.2
"Barnet 013A","E01000195",100.0,9.9,8.7,17.2
"Barnet 013B","E01000229",100.0,11.1,8.3,9.0
"Barnet 013C","E01000230",100.0,7.7,2.8,5.4
"Barnet 013D","E01000231",100.0,7.3,6.4,6.6
"Barnet 013E","E01000232",100.0,6.8,3.0,6.9
"Barnet 013F","E01000233",100.0,7.7,6.5,6.0
"Barnet 014A","E01000186",100.0,5.5,4.9,4.0
"Barnet 014B","E01000187",100.0,6.0,3.7,6.5
"Barnet 014C","E01000188",100.0,5.4,2.5,2.1
"Barnet 014D","E01000189",100.0,8.3,4.7,6.5
"Barnet 014E","E01000190",100.0,5.4,4.3,6.2
"Barnet 014F","E01000191",100.0,5.4,4.9,4.6
"Barnet 015A","E01000158",100.0,8.7,4.4,6.7
"Barnet 015B","E01000159",100.0,7.6,3.7,5.8
"Barnet 015C","E01000160",100.0,5.8,3.7,5.7
"Barnet 015D","E01000161",100.0,9.2,4.8,7.5
"Barnet 015E","E01000162",100.0,9.0,6.4,5.7
"Barnet 015F","E01000324",100.0,8.0,4.2,6.6
"Barnet 016A","E01000256",100.0,7.2,6.7,6.4
"Barnet 016B","E01000258",100.0,6.3,3.6,5.1
"Barnet 016C","E01000263",100.0,4.6,0.5,0.7
"Barnet 016D","E01000264",100.0,6.6,4.9,8.4
"Barnet 017A","E01000255",100.0,8.4,4.6,7.0
"Barnet 017B","E01000257",100.0,7.9,6.0,7.0
"Barnet 017C","E01000261",100.0,5.7,2.1,1.9
"Barnet 017E","E01033911",100.0,5.3,3.3,3.5
"Barnet 017F","E01033912",100.0,4.2,3.1,3.4
"Barnet 018A","E01000192",100.0,7.6,4.6,9.4
"Barnet 018B","E01000193",100.0,8.6,5.3,11.4
"Barnet 018C","E01000194",100.0,12.4,6.2,13.1
"Barnet 018D","E01000226",100.0,11.5,8.8,14.4
"Barnet 018E","E01000227",100.0,6.5,4.8,7.1
"Barnet 019A","E01000299",100.0,5.8,5.6,8.9
"Barnet 019B","E01000300",100.0,6.0,1.8,5.4
"Barnet 019C","E01000302",100.0,6.1,5.9,6.6
"Barnet 019D","E01000317",100.0,6.0,2.9,6.3
"Barnet 019E","E01000318",100.0,4.9,3.4,7.9
"Barnet 019F","E01000323",100.0,6.8,6.2,11.1
"Barnet 020A","E01000276",100.0,4.5,2.0,2.0
"Barnet 020B","E01000278",100.0,3.2,1.7,2.0
"Barnet 020C","E01000301",100.0,3.6,2.3,2.3
"Barnet 020D","E01000303",100.0,5.9,2.0,4.6
"Barnet 020E","E01000304",100.0,6.1,4.1,5.9
"Barnet 021A","E01000130",100.0,12.3,10.0,12.0
"Barnet 021B","E01000132",100.0,10.5,7.9,13.8
"Barnet 021C","E01000133",100.0,15.1,9.2,13.0
"Barnet 021D","E01000234",100.0,6.1,3.1,6.0
"Barnet 021E","E01000235",100.0,12.0,7.0,12.6
"Barnet 022A","E01000156",100.0,6.6,5.1,7.0
"Barnet 022B","E01000157",100.0,7.7,3.2,6.1
"Barnet 022C","E01000163",100.0,11.2,5.2,9.2
"Barnet 022D","E01000164",100.0,10.9,6.1,9.9
