
"TS066 - Economic activity status"
"ONS Crown Copyright Reserved [from Nomis on 7 January 2026]"
"Population :","All usual residents aged 16 years and over"
"Units      :","Persons"
"Date       :","2021"

"2021 super output area - lower layer","mnemonic","Economically active (excluding full-time students):In employment","Economically active and a full-time student:In employment"

"Barking and Dagenham 001A","E01000027",770,32
"Barking and Dagenham 001B","E01000028",652,35
"Barking and Dagenham 001C","E01000029",754,19
"Barking and Dagenham 001D","E01000030",939,38
"Barking and Dagenham 002A","E01000031",759,29
"Barking and Dagenham 002B","E01000032",843,36
"Barking and Dagenham 002C","E01000110",717,25
"Barking and Dagenham 002D","E01000111",884,78
"Barking and Dagenham 002E","E01000112",874,43
"Barking and Dagenham 002F","E01000113",895,52
"Barking and Dagenham 003A","E01000034",630,24
"Barking and Dagenham 003B","E01000037",833,24
"Barking and Dagenham 003C","E01000038",761,20
"Barking and Dagenham 003D","E01000039",798,24
"Barking and Dagenham 004A","E01000063",775,26
"Barking and Dagenham 004B","E01000100",796,17
"Barking and Dagenham 004C","E01000101",710,27
"Barking and Dagenham 004E","E01000114",1007,28
"Barking and Dagenham 004F","E01034469",772,23
"Barking and Dagenham 004G","E01034470",662,19
"Barking and Dagenham 006A","E01000033",565,25
"Barking and Dagenham 006B","E01000060",828,46
"Barking and Dagenham 006C","E01000061",730,28
"Barking and Dagenham 006D","E01000062",972,51
"Barking and Dagenham 006E","E01000064",972,54
"Barking and Dagenham 007A","E01000065",778,35
"Barking and Dagenham 007B","E01000078",736,45
"Barking and Dagenham 007C","E01000080",793,36
"Barking and Dagenham 007D","E01000081",853,36
"Barking and Dagenham 007E","E01000082",824,35
"Barking and Dagenham 007F","E01000083",747,27
"Barking and Dagenham 007G","E01000102",720,34
"Barking and Dagenham 008A","E01000021",652,33
"Barking and Dagenham 008B","E01000022",610,28
"Barking and Dagenham 008D","E01000024",607,20
"Barking and Dagenham 008E","E01000025",800,37
"Barking and Dagenham 008F","E01000077",678,34
"Barking and Dagenham 008G","E01034471",1049,66
"Barking and Dagenham 008H","E01034472",774,39
"Barking and Dagenham 009A","E01000015",1007,56
"Barking and Dagenham 009B","E01000016",809,52
"Barking and Dagenham 009C","E01000017",723,28
"Barking and Dagenham 009D","E01000018",801,33
"Barking and Dagenham 009E","E01000079",692,29
"Barking and Dagenham 010A","E01000035",759,54
"Barking and Dagenham 010B","E01000036",671,24
"Barking and Dagenham 010C","E01000107",712,24
"Barking and Dagenham 010D","E01000108",823,28
"Barking and Dagenham 011A","E01000066",936,37
"Barking and Dagenham 011B","E01000067",885,47
"Barking and Dagenham 011C","E01000069",984,32
"Barking and Dagenham 011D","E01000070",853,36
"Barking and Dagenham 011E","E01000071",1145,71
"Barking and Dagenham 012A","E01000057",621,33
"Barking and Dagenham 012B","E01000073",749,40
"Barking and Dagenham 012C","E01000074",715,37
"Barking and Dagenham 012D","E01000075",912,42
"Barking and Dagenham 012E","E01000076",811,44
"Barking and Dagenham 013A","E01000013",773,27
"Barking and Dagenham 013B","E01000014",760,37
"Barking and Dagenham 013C","E01000059",740,43
"Barking and Dagenham 013D","E01000084",609,24
"Barking and Dagenham 013E","E01000085",688,43
"Barking and Dagenham 013F","E01000086",600,38
"Barking and Dagenham 014A","E01000103",776,31
"Barking and Dagenham 014B","E01000104",785,35
"Barking and Dagenham 014C","E01000105",974,48
"Barking and Dagenham 014D","E01000106",837,28
"Barking and Dagenham 015A","E01000007",1254,129
"Barking and Dagenham 015B","E01000008",614,34
"Barking and Dagenham 015D","E01000012",852,51
"Barking and Dagenham 015E","E01034473",516,28
"Barking and Dagenham 015F","E01034474",1025,43
"Barking and Dagenham 016A","E01000006",842,42
"Barking and Dagenham 016B","E01000009",740,43
"Barking and Dagenham 016C","E01000011",703,35
"Barking and Dagenham 016D","E01000044",840,58
"Barking and Dagenham 016E","E01000068",819,30
"Barking and Dagenham 017A","E01000041",788,35
"Barking and Dagenham 017B","E01000042",678,31
"Barking and Dagenham 017C","E01000045",696,32
"Barking and Dagenham 017D","E01000046",827,30
"Barking and Dagenham 017E","E01000072",837,32
"Barking and Dagenham 018A","E01000054",790,32
"Barking and Dagenham 018B","E01000055",710,37
"Barking and Dagenham 018C","E01000056",684,23
"Barking and Dagenham 018D","E01000058",854,68
"Barking and Dagenham 018E","E01000095",917,37
"Barking and Dagenham 019A","E01000040",710,30
"Barking and Dagenham 019B","E01000043",663,38
"Barking and Dagenham 019C","E01000050",764,52
"Barking and Dagenham 019D","E01000052",928,44
"Barking and Dagenham 019F","E01034475",726,40
"Barking and Dagenham 019G","E01034476",749,39
"Barking and Dagenham 019H","E01034477",744,33
"Barking and Dagenham 019I","E01034478",688,19
"Barking and Dagenham 020A","E01000053",664,24
"Barking and Dagenham 020B","E01000087",669,32
"Barking and Dagenham 020C","E01000088",788,21
"Barking and Dagenham 020D","E01000089",732,44
"Barking and Dagenham 020E","E01000090",681,51
"Barking and Dagenham 021C","E01000049",629,51
"Barking and Dagenham 021D","E01000051",532,41
"Barking and Dagenham 021E","E01033587",1184,62
"Barking and Dagenham 021G","E01034479",804,51
"Barking and Dagenham 022A","E01000091",759,41
"Barking and Dagenham 022B","E01000093",647,44
"Barking and Dagenham 022C","E01000094",1066,59
"Barking and Dagenham 022D","E01000096",564,41
"Barking and Dagenham 023A","E01000019",666,26
"Barking and Dagenham 023B","E01000020",854,38
"Barking and Dagenham 023C","E01000097",767,28
"Barking and Dagenham 023D","E01000098",748,43
"Barking and Dagenham 023E","E01000099",1236,63
"Barking and Dagenham 023F","E01032580",597,36
"Barnet 001A","E01000248",842,11
"Barnet 001B","E01000249",780,7
"Barnet 001C","E01000250",1275,39
"Barnet 001D","E01000254",760,16
"Barnet 001E","E01000292",679,11
"Barnet 001F","E01000293",890,18
"Barnet 002A","E01000167",654,10
"Barnet 002B","E01000246",723,7
"Barnet 002C","E01000247",893,14
"Barnet 002D","E01000251",983,29
"Barnet 002E","E01000252",868,19
"Barnet 003A","E01000166",702,13
"Barnet 003B","E01000168",690,8
"Barnet 003C","E01000169",814,12
"Barnet 003D","E01000172",720,14
"Barnet 004A","E01000285",678,14
"Barnet 004B","E01000287",718,19
"Barnet 004C","E01000288",748,16
"Barnet 004D","E01000289",630,25
"Barnet 004E","E01000291",722,15
"Barnet 004F","E01000294",823,16
"Barnet 005A","E01000267",815,18
"Barnet 005B","E01000268",980,22
"Barnet 005C","E01000269",661,13
"Barnet 005D","E01000270",745,13
"Barnet 006A","E01000170",884,23
"Barnet 006B","E01000171",1023,44
"Barnet 006C","E01000173",799,20
"Barnet 006D","E01000174",797,13
"Barnet 006E","E01000175",1010,12
"Barnet 007A","E01000228",693,10
"Barnet 007B","E01000253",928,19
"Barnet 007C","E01000279",593,8
"Barnet 007D","E01000280",622,4
"Barnet 007E","E01000286",756,21
"Barnet 007F","E01000290",715,11
"Barnet 008A","E01000271",756,14
"Barnet 008B","E01000272",630,5
"Barnet 008C","E01000273",789,15
"Barnet 008D","E01000281",978,12
"Barnet 008E","E01000282",868,21
"Barnet 009A","E01000115",660,12
"Barnet 009B","E01000116",801,30
"Barnet 009C","E01000119",832,12
